sampling,invalid_value,missing_value,floating_point,unit_converter,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,utility_accuracy_score
2.0,3.0,7.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,0.1813471502590673,0.1865284974093264,14.4,326.75,0.37,880.02,0.36,511.68,0.45,192.02,0.34,2203.2,1.0,246.6,0.37,511.68,0.36,80.82,0.23,0.1948051948051947
2.0,4.0,4.0,4.0,2.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,0.3264248704663212,0.3212435233160621,16.11111111111111,3166.85,0.5,113.08,0.32,148.68,0.36,144.78,0.31,3166.84,1.0,133.25,0.5,148.68,0.35,148.02,0.13,0.2207792207792207
2.0,3.0,5.0,4.0,2.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,0.1761658031088082,0.1761658031088082,14.4,13.66,0.18,41.65,0.34,458.92,0.4,197.71,0.33,13.66,0.02,719.94,0.55,458.92,0.37,368.58,0.19,0.1818181818181817
1.0,3.0,2.0,3.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,0.2674961119751166,0.2674961119751166,9.936170212765957,56.05,0.16,177.23,1.0,1879.55,0.33,35.83,0.37,56.05,0.1,26.36,0.25,1879.55,0.41,27.47,0.29,0.1264591439688716
1.0,2.0,8.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,0.2286158631415241,0.2286158631415241,9.07843137254902,412.09,0.08,396.04,1.0,396.96,0.34,428.89,0.32,412.09,0.04,402.35,0.28,396.96,0.23,386.37,0.12,0.1089494163424124
2.0,1.0,5.0,2.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,0.1709844559585492,0.1709844559585492,14.4,13.66,0.2,41.65,0.34,458.92,0.44,197.71,0.33,13.66,0.02,719.94,0.55,458.92,0.37,368.58,0.19,0.1818181818181817
1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.2947154471544715,0.2947154471544715,17.714285714285715,8958.42,0.23,284.07,0.38,452.52,0.41,468.5,0.26,8958.41,1.0,316.45,0.29,452.52,0.7,367.86,0.19,0.104325699745547
1.0,3.0,9.0,3.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,0.2348367029548989,0.2332814930015552,10.422222222222222,9.93,0.1,2816.24,1.0,415.88,0.33,31.31,0.37,4316.51,0.05,30.48,0.25,415.85,0.42,28.36,0.28,0.1264591439688716
2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,0.2642487046632124,0.2642487046632124,15.3,541.31,0.23,47.26,0.35,279.32,0.32,182.59,0.39,541.3,1.0,118.81,0.37,279.32,0.2,201.9,0.24,0.1595092024539877
2.0,4.0,6.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,0.233160621761658,0.233160621761658,13.0,2712.06,0.24,123.57,0.36,126.59,0.34,123.89,0.36,2712.08,1.0,123.57,0.38,126.59,0.2,154.09,0.22,0.2142857142857143
2.0,2.0,8.0,2.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,1.0,0.2279792746113989,0.2279792746113989,14.4,11.68,0.2,874.1,0.34,503.44,0.33,188.76,0.36,2180.45,0.07,325.32,0.28,503.44,0.21,100.92,0.21,0.1818181818181817
2.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.1676300578034682,0.1618497109826589,12.307692307692308,3.03,0.27,949.32,0.36,510.96,0.36,5.32,0.38,1636.92,0.02,8.31,0.23,510.96,0.21,8.28,0.27,0.2312138728323699
2.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.2020725388601036,0.2020725388601036,14.4,13.23,0.18,45.0,0.36,455.05,0.42,197.71,0.33,13.23,0.12,661.21,0.55,455.05,0.37,370.28,0.18,0.1688311688311687
2.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.3005181347150259,0.3160621761658031,14.0,293.75,0.34,1012.07,0.34,555.95,0.33,210.23,0.35,2506.0,0.0,679.5,0.36,555.95,0.21,71.87,0.17,0.1388888888888888
2.0,4.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,0.3246753246753247,0.3246753246753247,11.833333333333334,1370.42,0.17,44.52,0.38,272.42,0.36,171.73,0.34,1370.47,0.02,83.79,0.36,272.42,0.21,155.79,0.24,0.1688311688311687
1.0,3.0,2.0,2.0,2.0,4.0,5.0,1.0,2.0,2.0,2.0,1.0,0.2690513219284603,0.2659409020217729,10.422222222222222,1089.65,0.19,199.04,1.0,580.49,0.35,3492.91,0.37,1089.63,0.08,3578.07,0.22,580.49,0.41,2924.91,0.12,0.1050583657587548
2.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,0.3246753246753247,0.3246753246753247,15.0,276.12,0.26,833.57,0.36,322.32,0.35,164.22,0.36,2145.0,1.0,577.46,0.35,322.32,0.2,69.12,0.21,0.2013888888888888
1.0,1.0,8.0,4.0,2.0,4.0,5.0,2.0,1.0,2.0,2.0,1.0,0.2192846034214619,0.223950233281493,10.444444444444445,1060.86,0.08,188.78,1.0,595.93,0.38,3506.32,0.37,1060.84,0.02,3658.93,0.23,595.92,0.41,2937.7,0.26,0.1087378640776699
2.0,4.0,5.0,4.0,1.0,1.0,5.0,2.0,2.0,1.0,2.0,1.0,0.3056994818652849,0.3056994818652849,18.25,8.38,0.33,39.13,0.31,423.65,0.38,197.17,0.35,8.38,1.0,571.92,0.2,423.65,0.38,458.93,0.16,0.2467532467532467
2.0,4.0,6.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,0.233160621761658,0.233160621761658,14.4,14.2,0.11,30.94,0.3,464.64,0.36,211.12,0.34,14.2,0.04,886.15,0.35,464.64,0.51,591.53,0.18,0.1623376623376623
2.0,1.0,3.0,2.0,2.0,4.0,8.0,1.0,1.0,1.0,2.0,1.0,0.1761658031088082,0.1761658031088082,16.11111111111111,542.14,0.27,49.75,0.36,308.73,0.38,2463.12,0.36,542.12,1.0,2444.8,0.39,308.72,0.16,2463.82,0.22,0.1688311688311687
2.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,0.1658031088082901,0.1658031088082901,14.8,2988.83,0.42,128.74,0.35,155.29,0.34,1519.42,0.35,2988.82,0.0,1406.92,0.39,155.29,0.2,3550.08,0.19,0.2025316455696202
2.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3005181347150259,0.3160621761658031,18.25,277.45,0.24,919.08,0.29,555.51,0.37,257.0,0.29,2792.25,1.0,646.24,0.53,555.51,0.32,90.76,0.16,0.1493506493506493
1.0,2.0,8.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.23950233281493,0.23950233281493,8.884615384615385,65.47,0.08,172.42,1.0,1837.15,0.37,524.14,0.36,65.47,0.04,2040.1,0.19,1837.15,0.42,914.47,0.12,0.1089494163424124
2.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,0.1676300578034682,0.1618497109826589,12.307692307692308,1636.86,0.27,47.72,0.36,295.13,0.35,3.67,0.38,1636.92,0.02,1.71,0.23,295.13,0.21,1168.42,0.27,0.2312138728323699
2.0,3.0,6.0,2.0,1.0,5.0,7.0,2.0,2.0,1.0,1.0,1.0,0.1709844559585492,0.1709844559585492,11.833333333333334,1628.28,0.1,65.68,1.0,211.12,0.33,4.15,0.36,1628.36,0.01,7.16,0.25,211.11,0.3,1172.18,0.27,0.1428571428571429
1.0,2.0,1.0,3.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.2886178861788618,0.2865853658536585,9.076923076923077,2779.02,0.16,149.45,1.0,481.83,0.33,439.69,0.32,2779.15,0.02,138.34,0.31,481.83,0.4,377.3,0.24,0.104325699745547
1.0,4.0,7.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,0.2317262830482115,0.2317262830482115,10.173913043478262,55.86,0.07,174.47,1.0,1718.64,0.35,627.42,0.34,55.86,0.02,2316.83,0.3,1718.64,0.24,982.8,0.11,0.1478599221789883
1.0,4.0,6.0,4.0,1.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,0.2659409020217729,0.2643856920684292,9.489795918367347,3980.52,0.12,188.77,1.0,712.03,0.33,511.62,0.03,3980.71,0.02,212.56,0.21,712.03,0.41,475.71,0.28,0.169260700389105
2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.1618497109826589,0.1618497109826589,12.307692307692308,17.0,0.15,47.72,0.36,513.14,0.33,5.32,0.38,17.0,0.02,6.2,0.23,513.14,0.21,8.39,0.27,0.2312138728323699
2.0,1.0,8.0,4.0,1.0,5.0,7.0,2.0,1.0,1.0,2.0,1.0,0.1917098445595854,0.1917098445595854,11.833333333333334,1632.33,0.12,65.68,1.0,222.45,0.32,4.14,0.34,1632.4,0.03,7.18,0.23,222.45,0.18,1172.18,0.28,0.2402597402597402
