Utility Goal,Method,Iteration,Value
0.93,PipeLens,iterations q1,5.5
0.93,PipeLens,iterations q2,13.5
0.93,PipeLens,iterations q3,21.5
0.93,PipeLens,iterations q4,28.0
0.93,PipeLens,Fairness q1,0.06035
0.93,PipeLens,Fairness q2,0.06349
0.93,PipeLens,Fairness q3,0.06494
0.93,PipeLens,Fairness q4,0.06849

Utility Goal,Method,Iteration,Value
0.92,PipeLens,iterations q1,1.0
0.92,PipeLens,iterations q2,8.0
0.92,PipeLens,iterations q3,17.0
0.92,PipeLens,iterations q4,22.0
0.92,PipeLens,Fairness q1,0.06818
0.92,PipeLens,Fairness q2,0.07393
0.92,PipeLens,Fairness q3,0.07588
0.92,PipeLens,Fairness q4,0.07782

Utility Goal,Method,Iteration,Value
0.91,PipeLens,iterations q1,1.0
0.91,PipeLens,iterations q2,2.0
0.91,PipeLens,iterations q3,6.0
0.91,PipeLens,iterations q4,30.0
0.91,PipeLens,Fairness q1,0.06165
0.91,PipeLens,Fairness q2,0.07143
0.91,PipeLens,Fairness q3,0.07782
0.91,PipeLens,Fairness q4,0.08031

Utility Goal,Method,Iteration,Value
0.9,PipeLens,iterations q1,1.0
0.9,PipeLens,iterations q2,1.5
0.9,PipeLens,iterations q3,6.0
0.9,PipeLens,iterations q4,25.0
0.9,PipeLens,Fairness q1,0.07073
0.9,PipeLens,Fairness q2,0.07588
0.9,PipeLens,Fairness q3,0.08171
0.9,PipeLens,Fairness q4,0.09922

