sampling,invalid_value,missing_value,floating_point,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,3,2,1,6,1,1,2,2,1,0.2321110496898225,0.2321110496898225,0.19307,2.01131,0.042827319874356846,3.098009763424709,376.29,0.0,1395.25,0.0,2251.21,0.0,1346.23,0.0,2302.81,0.0,162.48,0.0,488.06,0.0,143.05,0.0,360652.67,0.55,52024.01,0.34,187782.83,0.29,418.23,0.08,1335.07,0.27,0.1428734807688988,,
3,4,7,4,3,1,5,4,2,1,1,2,1,0.24378262204482654,0.2419404359840344,0.1883,1.92932,0.04235785270658063,3.1183932346723044,500.45,0.59,56.19,0.31,13.6,0.35,248.74,0.28,2824.06,0.28,428.07,0.21,234.99,0.4,438.15,0.36,15.7,0.15,83.44,0.34,233.17,0.09,64.12,0.15,64.98,0.26,45.63,0.09,0.15565609268690042
4,3,4,4,3,1,3,2,1,2,2,1,1,0.2423907028223575,0.24054602471868658,0.20256,1.046,0.050619582531868164,3.993091537132988,38.7,0.26,248.63,0.28,38.7,0.29,986.23,0.24,508.17,0.24,1168.44,0.19,897.56,0.52,2043.27,0.71,84.85,0.13,553.89,1.0,202.51,0.06,33.49,0.03,309.29,0.17,70.06,0.05,0.0685164276176403
4,4,3,3,1,2,4,3,1,2,1,2,1,0.17699686404722376,0.17672016233167312,0.18116,0.92503,0.04523642195847189,4.353356890459364,0.0,1.0,255.06,0.43,739.2,0.26,287.43,0.5,756.38,0.68,0.0,1.0,162.22,1.0,0.0,1.0,799.91,0.47,669.27,0.45,3951.07,0.15,695.78,1.0,695.78,1.0,695.78,0.15,0.1253604242009579
3,4,7,1,2,1,3,1,2,1,2,2,1,0.24347559103469452,0.23979121891311023,0.18436,2.0,0.04098464661844943,3.198083067092652,278.61,0.63,78.0,0.32,160.13,0.42,336.01,0.29,187.3,0.29,567.79,0.21,327.08,0.41,574.58,0.35,22.99,0.15,108.37,0.33,322.58,0.09,67.83,0.14,435.89,0.25,63.06,0.1,0.08561643835616438
4,3,4,4,3,1,5,3,1,1,2,1,1,0.2423907028223575,0.24008485519276887,0.17064,0.91489,0.04258606668473834,4.616438356164384,128.67,0.57,0.0,1.0,128.67,0.53,264.79,0.42,9834.87,0.14,507.55,0.21,329.24,0.5,898.29,0.67,0.0,1.0,182.01,1.0,799.1,1.0,799.1,1.0,799.1,0.14,0.0,1.0,0.07317073170731707
2,1,7,2,2,1,3,6,2,1,1,2,1,0.25,0.25696150696150694,0.17381,1.93591,0.0390471457371403,3.310657596371882,219.62,0.39,157.44,0.31,219.62,0.4,437.97,0.5,119.58,0.28,767.49,0.21,415.74,0.4,780.6,0.35,30.44,0.13,143.81,0.34,468.45,0.09,63.73,0.13,562.34,0.27,47.64,0.09,0.1617112240167685
3,3,1,2,4,2,3,7,2,1,2,1,1,0.20357686453576865,0.2024353120243531,0.17743,1.96984,0.039643293213282374,3.3964285714285714,59.69,0.32,282.81,0.28,565.21,0.21,273.06,0.41,567.59,0.36,24.72,0.14,97.5,0.34,59.9,0.08,195.65,0.31,264.46,0.28,161.37,0.07,320.82,0.2,0.09964713017181076,,,,
1,3,6,1,5,1,5,1,2,2,2,2,1,0.25766230575517474,0.2551440329218107,0.18716,2.00571,0.04155447945074113,3.2154979186679475,3263.93,0.36,445.99,0.31,3263.93,0.37,1670.2,0.29,5580.81,0.29,2674.38,0.21,1566.51,0.41,2741.45,0.34,134.31,0.14,564.77,0.33,1238.66,0.08,383.64,0.14,3106.17,0.3,143.24,0.1,0.1722677457164168
2,3,3,4,3,1,3,5,1,1,1,1,1,0.2502047502047502,0.24692874692874692,0.17951,1.9249,0.040401715584197376,3.2528735632183907,120.65,0.36,196.7,0.3,120.65,0.33,426.08,0.28,302.61,0.28,757.54,0.21,413.99,0.4,773.51,0.35,32.99,0.13,148.17,0.34,161.24,0.09,343.29,0.13,554.46,0.24,44.16,0.09,0.12454082833513243
2,3,6,2,5,2,1,7,2,2,2,2,1,0.24836199836199835,0.24836199836199835,0.16973,1.83909,0.03873826025914409,3.3880208333333335,185.51,0.0,430.43,0.0,723.21,0.0,402.59,0.0,735.62,0.0,41.89,0.0,124.93,0.0,50.03,0.0,19321.14,0.42,29676.03,0.31,35057.41,0.09,18771.11,0.15,0.13385542954460466,,,,
1,3,8,2,4,1,2,4,2,1,1,1,1,0.20748111295374977,0.20846385357164793,0.19497,2.00939,0.04326415686310116,3.1616659202866098,471.62,0.32,309.02,0.31,471.62,0.34,1218.66,0.28,421.14,0.28,1908.46,0.21,1100.43,0.4,1963.48,0.33,103.02,0.14,428.3,0.33,480.18,0.08,476.61,0.14,476.61,0.23,110.63,0.1,0.2169694859986723
4,4,1,1,5,1,5,3,2,1,1,2,1,0.1995474473200396,0.201668788007354,0.16604,0.91817,0.041447468224126933,4.595864661654136,771.13,0.51,0.0,1.0,771.13,0.56,231.98,0.16,2515.22,0.16,694.14,0.27,259.02,0.5,712.79,0.67,0.0,1.0,138.41,1.0,647.54,1.0,647.54,1.0,4088.57,0.26,0.0,1.0,0.11274009766684753
1,3,5,4,5,2,3,4,1,2,1,1,1,0.2503531724095572,0.2518272833364044,0.1838,1.94134,0.041248212253728475,3.2554969217238345,364.76,0.31,1167.12,0.29,2018.42,0.21,1105.68,0.4,2068.39,0.34,100.24,0.15,407.05,0.34,102.8,0.1,387.48,0.43,347.88,0.29,886.0,0.08,783.99,0.25,0.16395171042243387,,,,
2,1,1,1,4,2,4,4,2,1,2,2,1,0.2124904798172125,0.21375983752221375,0.18954,2.06524,0.04167778092120338,3.3253968253968256,121.76,0.29,338.8,0.28,549.65,0.21,320.64,0.39,554.7,0.34,32.91,0.14,120.0,0.33,50.34,0.09,53.54,0.32,4488.31,0.28,627.31,0.08,129.07,0.22,0.11783637339450218,,,,
4,1,5,3,3,1,1,4,1,1,2,2,1,0.2529053680132817,0.2529053680132817,0.19465,1.00129,0.04867090324400779,3.8426791277258565,31430.31,0.36,208.29,0.0,31430.31,0.32,709.27,0.0,125433.02,0.27,1364.38,0.0,660.98,0.0,1406.07,0.0,86.52,0.0,358.27,0.0,246.68,0.08,673.47,0.14,673.48,0.25,80.09,0.0,0.16582747742393164
3,2,9,1,2,1,2,8,1,2,1,2,1,0.24040528093337427,0.2419404359840344,0.18672,1.93693,0.0419457426298321,3.184640522875817,138.11,0.53,71.8,0.32,133.25,0.4,322.51,0.29,123.83,0.29,568.12,0.21,313.67,0.41,570.51,0.36,21.64,0.15,109.22,0.34,147.11,0.09,155.87,0.05,154.08,0.24,53.06,0.09,0.17859082786079378
2,2,7,4,2,2,2,6,2,1,2,1,1,0.27825552825552824,0.27825552825552824,0.18049,1.91415,0.04069339656695619,3.2479721900347625,167.46,0.3,413.18,0.28,750.11,0.22,414.74,0.4,765.48,0.35,37.26,0.14,148.55,0.34,50.99,0.09,160.57,0.55,154.39,0.28,180.06,0.09,154.55,0.26,0.1662806543107501,,,,
1,1,5,4,1,1,4,2,2,1,2,2,1,0.2047171549659112,0.2047171549659112,0.20655,2.35628,0.04321029952153633,3.112456071846935,2104.56,0.21,309.3,0.29,2104.56,0.2,1256.73,0.26,7805.14,0.26,2141.4,0.19,1225.49,0.4,2196.61,0.3,101.77,0.11,509.61,0.3,3137.82,0.07,2208.03,0.06,2208.03,0.19,103.25,0.06,0.1923136996510529
3,1,5,4,1,2,3,6,2,1,1,2,1,0.20356155971753148,0.20509671476819158,0.17896,1.9431,0.04016298395383358,3.35663082437276,59.06,0.32,302.71,0.29,572.78,0.21,301.13,0.42,579.42,0.36,25.59,0.15,97.75,0.34,62.52,0.09,239.41,0.27,213.05,0.29,36.75,0.06,308.5,0.24,-0.0387228168631622,,,,
1,3,1,3,4,1,4,4,2,1,1,1,1,0.2108621344473984,0.21078617546524878,0.1976,1.99709,0.04393620325925952,3.1815718157181574,259.06,0.3,323.51,0.31,259.06,0.31,1166.66,0.28,14361.9,0.28,1907.84,0.21,1097.24,0.4,1952.91,0.33,103.23,0.15,440.59,0.33,2255.89,0.08,475.91,0.14,475.77,0.25,106.29,0.1,0.1519168121017372
1,2,6,1,4,1,1,5,2,1,1,2,1,0.23327805417357655,0.23327805417357655,0.18965,1.99541,0.04218154679760777,3.1192421991084696,199550.3,0.49,385.68,0.0,3254.88,0.29,1393.65,0.0,246722.86,0.29,2301.53,0.0,1389.35,0.0,2355.97,0.0,149.73,0.0,481.5,0.0,857.75,0.09,1797.68,0.15,1696.87,0.23,148.33,0.0,0.12880122094555266
4,3,5,2,4,2,2,1,1,2,1,1,1,0.19996310643792659,0.1995941708171924,0.19078,0.99954,0.047699862489546975,3.8147333699835073,276.7,0.31,1046.41,0.28,1924.44,0.26,951.4,0.52,1984.55,0.71,105.9,0.16,483.1,1.0,95.26,0.09,321.19,0.33,314.4,0.28,327.95,0.08,324.83,0.21,0.15145006894163637,,,,
