sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Workclass,ot_Workclass,corr_Education,ot_Education,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Country,ot_Country,corr_Age,ot_Age,corr_fnlwgt,ot_fnlwgt,corr_Education_Num,ot_Education_Num,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,utility_sp
1,4,6,2,1,4,1,4,2,1,0.17547092547092547,0.1754026754026754,0.14771,2.51876,0.03005149154707008,1.868575624082232,7252.6,0.35,111.65,0.26,106.03,0.24,365.3,0.23,2067.06,0.26,768.16,0.18,439.95,0.39,771.99,0.29,24.72,0.09,228.46,0.28,3991.65,0.05,286.9,0.28,286.9,0.28,54.72,0.06,0.17555273196601148
1,3,9,3,2,3,2,3,2,1,0.15281190281190282,0.15383565383565384,0.14552,2.53895,0.029503097180085418,1.8805603342344557,100.6,0.27,368.0,0.25,771.58,0.18,436.23,0.4,772.84,0.29,33.37,0.1,221.38,0.28,53.93,0.06,512.71,0.25,2661.09,0.36,636.23,0.29,556.82,0.06,73.84,0.3,73.84,0.28,0.08167889907466294
3,2,5,2,1,4,2,4,4,1,0.1695158153342205,0.16992527382536596,0.13576,1.00795,0.03394363060581058,2.0752501087429316,81.04,0.3,248.82,0.28,465.53,0.25,282.15,0.51,482.67,0.71,25.59,0.16,147.83,1.0,50.37,0.09,6590.4,0.56,223.49,0.27,1502.01,0.27,1558.79,0.07,112.6,0.28,112.6,0.33,0.16411253527020464
3,3,4,2,1,1,2,5,1,1,0.14536063456926765,0.14333148865522966,0.1271,1.0,0.03177751129969559,2.075744680851064,100.58,0.31,361.51,0.28,564.94,0.23,374.83,0.52,721.05,0.71,29.08,0.16,198.97,1.0,62.13,0.09,1776.07,0.27,2149.99,0.37,11627.69,0.35,4777.15,0.08,200.48,0.29,200.48,0.28,0.043165467625899276
3,4,3,3,1,4,2,2,1,1,0.17555532807861604,0.1762718804381206,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.31,328.25,0.28,631.92,0.26,349.18,0.52,653.43,0.71,30.74,0.15,200.35,1.0,58.64,0.09,837.04,0.53,837.04,0.24,837.04,0.25,837.04,0.07,837.04,0.28,837.04,0.26,0.15481827239419535
3,2,9,3,2,4,1,2,4,1,0.17842153751663425,0.1764766096836933,0.14155,1.01802,0.03539024800807989,2.064516129032258,646.43,0.46,89.26,0.31,744.62,0.25,276.46,0.28,627.58,0.27,533.33,0.25,315.16,0.51,555.65,0.7,29.56,0.16,170.36,1.0,614.29,0.08,625.13,0.28,625.13,0.28,52.81,0.09,0.16545076914750953
2,1,5,1,2,3,2,4,3,1,0.1527115951894713,0.1524846834581348,0.1303,1.92513,0.029342450127201342,2.0388888888888888,0.0,1.0,9.63,0.56,83.59,0.24,28.68,0.56,78.3,0.31,0.0,1.0,18.34,0.34,0.0,1.0,358.05,0.48,0.14,0.3,2226.64,0.32,536.08,1.0,503.91,0.28,503.91,0.17,0.0
3,2,3,4,1,1,1,4,2,1,0.14361756576927015,0.14105845019961102,0.14692,1.05983,0.03670435186872781,2.136035313001605,286.81,0.47,59.54,0.26,1336.2,0.3,229.25,0.22,3359.31,0.2,551.99,0.24,265.54,0.52,560.11,0.7,28.91,0.1,193.34,1.0,3514.31,0.05,242.28,0.31,242.28,0.31,31.72,0.04,0.14162186475668004
2,1,7,2,1,1,2,4,8,1,0.14726571363739505,0.14726571363739505,0.12302,1.85248,0.028015771500962575,2.060882800608828,61.19,0.3,124.49,0.26,269.56,0.21,175.42,0.4,272.48,0.36,17.49,0.13,62.45,0.35,42.77,0.08,698.1,0.28,818.48,0.37,2313.55,0.33,1876.03,0.08,101.31,0.34,101.31,0.32,0.03418646074310601
2,1,8,3,2,1,1,4,7,1,0.1529385069208078,0.15339233038348082,0.12459,1.87006,0.02829304319410143,2.0542398777692896,685.45,0.28,62.26,0.3,817.41,0.38,122.5,0.26,2325.43,0.34,259.74,0.2,180.31,0.41,267.7,0.36,18.95,0.13,63.42,0.35,1871.27,0.08,101.91,0.32,101.91,0.34,46.27,0.08,0.04074085811563989
2,4,8,2,2,2,1,4,6,1,0.15974585886090312,0.15997277059223963,0.14042,1.87582,0.03185725223076465,1.9735649546827794,3763.49,0.48,60.71,0.3,4501.79,0.22,118.22,0.27,4360.18,0.24,276.31,0.21,178.84,0.4,287.61,0.34,21.3,0.13,78.26,0.35,1011.71,0.08,3680.08,0.27,3680.09,0.29,58.11,0.08,0.10980796406408935
1,4,2,4,1,4,2,4,6,1,0.17997542997542998,0.1782009282009282,0.12887,2.01651,0.02856159364302615,1.8747574908385427,155.76,0.3,490.11,0.29,858.81,0.21,541.12,0.41,880.43,0.33,47.28,0.15,215.8,0.33,69.37,0.09,7965.73,0.4,71.06,0.23,2126.61,0.26,3096.94,0.08,223.03,0.32,223.03,0.33,0.1607850057398261
2,3,3,4,2,2,2,3,1,1,0.1729067392784207,0.17358747447243023,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.31,141.84,0.28,275.45,0.21,207.93,0.41,280.49,0.34,23.31,0.13,71.05,0.33,53.82,0.09,127.43,0.37,1080.38,0.28,487.41,0.35,123.58,0.09,233.97,0.23,233.96,0.22,0.07335929841540215
1,1,2,2,2,3,1,5,5,1,0.1625034125034125,0.1586131586131586,0.13533,2.04326,0.029859710743635658,1.9042207792207793,2010.64,0.3,151.55,0.31,143.07,0.33,451.64,0.28,12023.31,0.36,858.09,0.2,498.14,0.4,867.84,0.33,49.42,0.15,223.53,0.33,5575.59,0.07,3139.48,0.28,3139.48,0.31,62.3,0.09,0.06674910661951297
1,4,6,3,2,3,1,3,7,1,0.15308490308490308,0.15267540267540267,0.12698,1.99514,0.028243259792592464,1.9460020768431983,2037.59,0.34,136.98,0.31,2174.5,0.26,504.76,0.28,1907.85,0.29,879.98,0.21,547.8,0.41,895.65,0.34,42.6,0.14,226.31,0.33,801.49,0.07,431.02,0.29,431.02,0.3,73.27,0.09,0.12904793568173953
1,3,1,2,1,4,1,2,4,1,0.18584493584493583,0.18645918645918647,0.13214,2.00511,0.029342993468378993,1.905096203848154,1118.47,0.39,122.22,0.31,1196.75,0.33,436.87,0.28,1092.01,0.36,729.64,0.21,512.6,0.41,738.65,0.33,38.66,0.14,191.32,0.33,1047.35,0.08,1072.4,0.29,1072.4,0.32,62.11,0.09,0.1212163423431029
3,4,1,1,2,1,2,2,8,1,0.1405987688864018,0.14045886961387802,0.13718,0.97937,0.03429733840273182,2.1147176522899067,58.17,0.31,213.92,0.28,472.55,0.26,233.01,0.52,479.34,0.71,17.97,0.16,150.55,1.0,54.0,0.09,617.15,0.48,754.28,0.34,588.21,0.28,979.88,0.06,631.18,0.31,631.18,0.27,0.13044254875236563
1,2,6,1,2,3,2,5,6,1,0.15567840567840568,0.15424515424515425,0.13142,2.00891,0.02916383350690479,1.895436040282837,142.37,0.31,487.06,0.29,885.87,0.21,513.11,0.41,894.69,0.33,52.76,0.15,228.48,0.33,63.99,0.09,49.45,0.39,294.65,0.26,7565.51,0.29,5743.76,0.07,3380.51,0.29,3380.5,0.3,0.13725100389206701
2,2,4,4,1,1,1,1,1,1,0.15868140868140868,0.15868140868140868,0.11884,1.98351,0.026486072205916564,2.001843884449908,34619.83,0.45,73.36,0.0,15730.92,0.28,158.65,0.0,78213.59,0.25,259.39,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,260.88,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07134069905983419
1,4,7,3,1,3,1,5,5,1,0.14810264810264812,0.14885339885339885,0.13001,2.03895,0.028706445351005312,1.8806593406593406,45.18,0.43,163.03,0.31,298.9,0.28,483.55,0.29,7255.44,0.3,844.59,0.21,532.08,0.4,859.13,0.33,53.79,0.15,215.26,0.33,5575.7,0.07,3231.65,0.28,3231.64,0.31,67.99,0.09,0.14173043705736807
3,1,5,3,1,2,1,2,2,1,0.1759647865697615,0.17545296345582967,0.14628,1.0768,0.0365250225123763,2.036130536130536,1759.45,0.27,62.97,0.27,510.82,0.25,234.0,0.24,275.09,0.28,539.49,0.24,271.31,0.51,547.1,0.71,26.61,0.11,188.35,1.0,1334.72,0.06,399.21,0.32,399.21,0.3,43.05,0.05,0.06705231669403258
1,3,6,3,1,4,1,2,1,1,0.1876194376194376,0.1883019383019383,0.12747,2.01854,0.028241944391012717,1.9333333333333333,1390.33,0.4,144.09,0.31,1390.33,0.34,528.56,0.29,1390.33,0.36,888.66,0.21,567.82,0.41,904.76,0.34,42.29,0.14,234.18,0.33,1390.33,0.08,1390.33,0.33,1390.33,0.35,69.27,0.1,0.1065030299314383
2,4,4,4,1,3,1,2,7,1,0.14127764127764128,0.14516789516789516,0.12027,1.95421,0.026936797379408007,1.9949811794228356,461.49,0.5,70.48,0.31,497.48,0.27,161.29,0.28,423.7,0.25,258.1,0.19,223.31,0.41,314.67,0.35,17.64,0.14,68.99,0.34,496.08,0.08,486.92,0.29,486.92,0.27,50.77,0.09,0.10936471259538873
3,2,8,2,2,4,1,4,3,1,0.1773978912887706,0.1782168082710615,0.12976,1.0029,0.032448774882700086,2.156021897810219,2777.04,0.48,0.0,1.0,88.54,0.3,58.74,0.41,885.89,0.17,212.01,0.27,71.31,0.53,214.74,0.66,0.0,1.0,66.67,1.0,1603.88,1.0,107.84,0.3,107.84,0.23,0.0,1.0,0.07390133071941225
