sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,4,1,4,2,1,1,0.17547092547092547,0.1754026754026754,0.14771,2.51876,0.03005149154707008,1.868575624082232,7252.6,0.35,111.65,0.26,106.03,0.24,365.3,0.23,2067.06,0.26,768.16,0.18,439.95,0.39,771.99,0.29,24.72,0.09,228.46,0.28,3991.65,0.05,286.9,0.28,286.9,0.28,54.72,0.06,0.17555273196601148
2,4,7,4,2,4,2,1,7,1,1,0.17812570909916042,0.17812570909916042,0.12693,1.97299,0.028339551870239302,2.0232394366197184,66.15,0.0,131.7,0.0,268.15,0.0,197.94,0.0,270.56,0.0,24.27,0.0,69.17,0.0,61.01,0.0,150107.66,0.5,77128.85,0.25,51670.8,0.28,1173.12,0.08,47684.97,0.33,47684.97,0.33,0.13188108963732234
2,2,2,4,2,3,1,5,5,1,1,0.15997277059223963,0.15883821193555706,0.14392,1.9449,0.0322830119062007,1.9669917479369843,22.37,0.49,67.92,0.3,71.9,0.26,128.97,0.28,2387.31,0.25,280.34,0.2,187.55,0.41,286.56,0.34,27.66,0.13,81.57,0.34,1564.78,0.07,1075.01,0.25,1075.01,0.31,52.42,0.09,0.13386723057222577
2,1,1,3,2,1,2,5,3,2,1,0.14703880190605853,0.14771953710006808,0.12703,1.91241,0.02866488964887134,2.0380710659898478,0.0,1.0,9.02,0.56,74.89,0.24,30.72,0.47,73.26,0.31,0.0,1.0,19.15,0.34,0.0,1.0,579.71,0.32,266.79,0.44,2433.45,0.31,586.83,1.0,40.04,0.25,40.04,0.18,0.0
1,4,7,2,1,4,1,5,6,2,1,0.18052143052143052,0.18052143052143052,0.13068,1.99758,0.029053296686941663,1.8869085508168895,304.33,0.38,144.11,0.3,124.56,0.28,506.14,0.29,1936.52,0.29,874.59,0.21,550.2,0.41,888.61,0.33,46.48,0.15,227.57,0.33,3238.95,0.08,196.49,0.29,196.49,0.31,67.38,0.09,0.16843911958156937
3,1,4,2,1,1,2,1,6,2,1,0.14536063456926765,0.14536063456926765,0.12507,0.98763,0.03127055621405683,2.1240357914224006,90.54,0.0,308.15,0.0,535.56,0.0,327.85,0.0,674.72,0.0,26.31,0.0,181.37,0.0,69.1,0.0,1073.81,0.28,23084.95,0.37,974.62,0.34,109.65,0.04,100413.2,0.31,100413.21,0.26,0.025712315095173174
3,3,4,4,1,2,2,2,1,1,1,0.17035602287400847,0.17007932115845784,0.1271,1.0,0.03177751129969559,2.075744680851064,100.58,0.31,361.51,0.28,564.94,0.23,374.83,0.52,721.05,0.71,29.08,0.16,198.97,1.0,62.13,0.09,939.76,0.37,939.76,0.29,939.76,0.35,939.76,0.08,939.76,0.21,939.76,0.22,0.07138904261206419
3,1,5,1,2,2,1,2,5,2,1,0.17320094175452963,0.17555532807861604,0.13989,1.00137,0.034975617542160185,2.0364963503649633,782.64,0.32,89.86,0.3,752.62,0.27,293.17,0.27,788.1,0.34,605.12,0.25,330.49,0.51,623.7,0.71,29.53,0.16,192.86,1.0,713.61,0.08,832.02,0.25,832.02,0.29,51.73,0.09,0.06791513261805983
3,2,2,4,2,3,1,2,7,2,1,0.14187736718190194,0.1422868256730474,0.13371,1.00567,0.033430371087884346,2.0866472680245716,827.99,0.51,89.37,0.31,948.28,0.28,324.48,0.28,798.7,0.25,634.56,0.26,343.74,0.52,653.47,0.71,31.48,0.16,194.22,1.0,914.7,0.07,880.91,0.24,880.91,0.24,60.66,0.09,0.12417410247993077
2,4,8,2,2,2,1,4,6,1,1,0.15974585886090312,0.15997277059223963,0.14042,1.87582,0.03185725223076465,1.9735649546827794,3763.49,0.48,60.71,0.3,4501.79,0.22,118.22,0.27,4360.18,0.24,276.31,0.21,178.84,0.4,287.61,0.34,21.3,0.13,78.26,0.35,1011.71,0.08,3680.08,0.27,3680.09,0.29,58.11,0.08,0.10980796406408935
