sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,4,1,4,2,1,2,1,0.17547092547092547,0.1754026754026754,0.14771,2.51876,0.03005149154707008,1.868575624082232,7252.6,0.35,111.65,0.26,106.03,0.24,365.3,0.23,2067.06,0.26,768.16,0.18,439.95,0.39,771.99,0.29,24.72,0.09,228.46,0.28,3991.65,0.05,286.9,0.28,286.9,0.28,54.72,0.06,0.17555273196601148
3,3,7,3,2,3,1,5,4,2,1,1,0.1639881257037568,0.16501177193162042,0.13847,1.01016,0.03462068706194346,2.060980998674326,990.43,0.31,79.1,0.3,33.06,0.34,246.13,0.27,7323.87,0.35,465.09,0.25,294.6,0.51,487.0,0.71,32.06,0.16,150.31,1.0,2791.27,0.07,1894.8,0.27,1894.8,0.33,61.29,0.09,0.06936852956677347
1,4,8,3,1,4,2,3,4,1,1,1,0.17710892710892712,0.17717717717717718,0.13282,1.96526,0.02968996733024175,1.9629240073626084,134.84,0.31,391.76,0.28,739.9,0.21,461.39,0.41,756.29,0.34,42.05,0.15,198.12,0.34,72.61,0.1,2177.21,0.46,1816.44,0.24,1118.4,0.29,3762.88,0.07,129.56,0.31,129.56,0.26,0.14991105911538352
2,4,1,4,2,2,2,1,7,2,1,1,0.16219588271990018,0.16219588271990018,0.13117,1.81382,0.03006042106233267,2.063740856844305,32.75,0.0,103.78,0.0,193.07,0.0,150.12,0.0,194.82,0.0,15.4,0.0,51.97,0.0,34.12,0.0,92096.65,0.49,665914.54,0.22,42701.16,0.28,65.66,0.08,90057.76,0.26,90057.77,0.26,0.13206694492682974
1,4,5,4,2,4,2,1,3,1,1,1,0.18393393393393392,0.18393393393393392,0.1287,2.14083,0.027932484532136707,1.984330930742714,66.29,0.0,276.74,0.0,556.61,0.0,279.97,0.0,566.61,0.0,29.57,0.0,153.06,0.0,57.09,0.0,349390.8,0.42,184418.69,0.27,120487.91,0.25,4798.59,1.0,1014219.98,0.26,1014220.01,0.35,0.12107122953681758
1,3,2,3,2,4,2,2,8,1,1,1,0.2042042042042042,0.20331695331695332,0.1276,1.99501,0.028380784280036778,1.927379983726607,143.02,0.31,518.81,0.29,896.62,0.21,561.17,0.41,915.5,0.34,41.72,0.14,231.13,0.33,69.93,0.09,1357.51,0.4,1538.12,0.37,1368.09,0.36,1464.34,0.08,1406.5,0.31,1406.5,0.34,0.10508915077985086
3,2,1,2,2,1,1,1,6,1,1,1,0.16130386121992166,0.16130386121992166,0.13586,0.97662,0.03396459306136909,2.148975791433892,50022.0,0.48,47.32,0.0,22110.8,0.33,209.25,0.0,101033.28,0.27,447.05,0.0,224.83,0.0,455.05,0.0,16.05,0.0,143.37,0.0,171.23,0.03,67084.59,0.28,67084.59,0.26,60.65,0.0,0.049917263624220505
1,3,7,4,1,1,2,4,6,1,1,1,0.15574665574665575,0.1558149058149058,0.13122,1.98625,0.02922810833366693,1.9155666818388712,160.65,0.31,429.12,0.29,852.92,0.2,509.85,0.4,864.4,0.34,41.92,0.15,217.43,0.33,66.48,0.09,2302.08,0.29,2966.35,0.37,7987.46,0.36,6268.32,0.07,215.27,0.32,215.27,0.34,0.05330111347010772
3,4,4,4,2,2,2,2,2,2,2,1,0.1640841173215274,0.16353071389042612,0.14251,1.0924,0.03556145158044455,2.0831852115179523,74.84,0.27,263.82,0.24,508.1,0.21,299.11,0.52,640.36,0.71,28.28,0.11,199.89,1.0,43.66,0.04,1089.05,0.51,706.77,0.23,599.17,0.21,2942.42,0.03,398.26,0.29,398.26,0.29,0.14453303822989086
1,4,2,4,1,4,2,4,6,1,2,1,0.17997542997542998,0.1782009282009282,0.12887,2.01651,0.02856159364302615,1.8747574908385427,155.76,0.3,490.11,0.29,858.81,0.21,541.12,0.41,880.43,0.33,47.28,0.15,215.8,0.33,69.37,0.09,7965.73,0.4,71.06,0.23,2126.61,0.26,3096.94,0.08,223.03,0.32,223.03,0.33,0.1607850057398261
