sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,4,1,4,2,1,2,2,1,0.17547092547092547,0.1754026754026754,0.14771,2.51876,0.03005149154707008,1.868575624082232,7252.6,0.35,111.65,0.26,106.03,0.24,365.3,0.23,2067.06,0.26,768.16,0.18,439.95,0.39,771.99,0.29,24.72,0.09,228.46,0.28,3991.65,0.05,286.9,0.28,286.9,0.28,54.72,0.06,0.17555273196601148
3,4,7,4,2,1,2,3,5,1,1,2,1,0.1472003275667929,0.14730269218957928,0.13386,1.00786,0.03346888555078779,2.0924991590985536,84.95,0.31,294.79,0.28,596.23,0.26,318.41,0.52,622.08,0.71,33.07,0.15,187.63,1.0,62.49,0.09,826.1,0.44,502.92,0.3,910.0,0.28,363.26,0.06,449.5,0.29,449.5,0.28,0.13118487834967538
3,3,4,4,2,2,1,2,1,2,2,1,1,0.1659287954251983,0.16565209370964767,0.1271,1.0,0.03177751129969559,2.075744680851064,939.76,0.37,100.58,0.31,939.76,0.29,361.51,0.28,939.76,0.35,564.94,0.23,374.83,0.52,721.05,0.71,29.08,0.16,198.97,1.0,939.76,0.08,939.76,0.21,939.76,0.22,62.13,0.09,0.07138904261206419
3,4,3,3,1,4,2,2,1,2,1,2,1,0.17555532807861604,0.1762718804381206,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.31,328.25,0.28,631.92,0.26,349.18,0.52,653.43,0.71,30.74,0.15,200.35,1.0,58.64,0.09,837.04,0.53,837.04,0.24,837.04,0.25,837.04,0.07,837.04,0.28,837.04,0.26,0.15481827239419535
3,4,7,1,1,2,1,1,5,1,2,2,1,0.14822397379465657,0.14822397379465657,0.13687,1.01736,0.03422031524957299,2.0566666666666666,262925.49,0.44,98.26,0.0,2053269.64,0.24,266.32,0.0,120663.84,0.23,537.83,0.0,324.74,0.0,557.59,0.0,37.21,0.0,174.97,0.0,153.82,0.08,256006.82,0.28,256006.83,0.27,59.88,0.0,0.1255173773115256
3,3,4,4,1,2,2,2,1,1,2,1,1,0.17035602287400847,0.17007932115845784,0.1271,1.0,0.03177751129969559,2.075744680851064,100.58,0.31,361.51,0.28,564.94,0.23,374.83,0.52,721.05,0.71,29.08,0.16,198.97,1.0,62.13,0.09,939.76,0.37,939.76,0.29,939.76,0.35,939.76,0.08,939.76,0.21,939.76,0.22,0.07138904261206419
2,1,7,2,1,1,2,4,8,1,1,2,1,0.14726571363739505,0.14726571363739505,0.12302,1.85248,0.028015771500962575,2.060882800608828,61.19,0.3,124.49,0.26,269.56,0.21,175.42,0.4,272.48,0.36,17.49,0.13,62.45,0.35,42.77,0.08,698.1,0.28,818.48,0.37,2313.55,0.33,1876.03,0.08,101.31,0.34,101.31,0.32,0.03418646074310601
2,3,1,2,2,4,1,5,7,1,2,1,1,0.18311776718856365,0.18379850238257317,0.12767,1.91736,0.028767421092942554,2.0387374461979912,314.87,0.4,63.65,0.3,103.42,0.36,136.62,0.28,359.24,0.35,277.08,0.21,201.55,0.41,279.38,0.35,20.82,0.13,69.87,0.34,894.58,0.08,62.51,0.32,62.51,0.35,48.47,0.09,0.10607841740286882
1,3,6,1,2,1,2,1,7,2,2,2,1,0.15601965601965603,0.15601965601965603,0.1256,1.99234,0.0279486985487444,1.9754187513595822,125.58,0.0,458.59,0.0,833.79,0.0,503.31,0.0,843.21,0.0,35.7,0.0,214.61,0.0,71.73,0.0,1412.27,0.26,31154.4,0.38,1275.62,0.35,153.45,0.04,143550.18,0.31,143550.18,0.29,0.022532017257478765
2,3,3,4,2,2,2,3,1,1,1,1,1,0.1729067392784207,0.17358747447243023,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.31,141.84,0.28,275.45,0.21,207.93,0.41,280.49,0.34,23.31,0.13,71.05,0.33,53.82,0.09,127.43,0.37,1080.38,0.28,487.41,0.35,123.58,0.09,233.97,0.23,233.96,0.22,0.07335929841540215
