sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,outlier,punctuation,stopword,lowercase,whitespace,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,4,1,4,2,1,2,2,2,1,0.17547092547092547,0.1754026754026754,0.14771,2.51876,0.03005149154707008,1.868575624082232,7252.6,0.35,111.65,0.26,106.03,0.24,365.3,0.23,2067.06,0.26,768.16,0.18,439.95,0.39,771.99,0.29,24.72,0.09,228.46,0.28,3991.65,0.05,286.9,0.28,286.9,0.28,54.72,0.06,0.17555273196601148
3,3,8,3,1,4,1,3,3,1,2,2,2,1,0.19858736820554818,0.19705189886375268,0.13754,0.98955,0.03439631014695515,2.2315151515151515,1642.27,0.42,0.0,1.0,644.48,0.38,24.41,0.57,415.59,0.3,164.11,0.28,57.5,0.54,166.18,0.65,0.0,1.0,58.36,1.0,1194.26,1.0,191.21,0.27,191.21,0.34,0.0,1.0,0.05429864253393665
2,4,5,2,1,1,1,3,8,1,2,2,1,1,0.1502155661447697,0.14908100748808714,0.13057,1.98943,0.02907313165378589,2.0628158844765343,342.03,0.4,61.8,0.31,324.14,0.32,135.83,0.27,472.03,0.27,288.57,0.21,204.16,0.41,295.4,0.35,25.25,0.13,72.62,0.33,200.33,0.07,59.05,0.33,59.05,0.3,50.65,0.09,0.12260958196751391
2,1,7,3,1,1,2,3,8,2,2,2,1,1,0.14703880190605853,0.14749262536873156,0.12882,1.95652,0.028840834621767657,2.079435783221975,54.51,0.31,128.22,0.27,277.15,0.21,193.54,0.41,281.02,0.35,21.77,0.13,69.68,0.34,48.26,0.08,401.25,0.29,436.99,0.42,409.4,0.33,182.24,0.06,76.03,0.3,76.03,0.35,0.0548031994931496
2,2,5,1,2,1,2,4,8,2,1,2,1,1,0.1415929203539823,0.13977762650329023,0.12686,1.88191,0.028751408118528488,2.061628760088041,66.33,0.3,141.1,0.27,286.77,0.21,201.39,0.41,293.14,0.35,22.65,0.14,68.61,0.35,52.2,0.08,184.47,0.4,751.46,0.28,1584.29,0.27,1826.19,0.07,111.45,0.33,111.45,0.33,0.11615971412641289
1,4,4,1,1,4,1,3,2,2,1,1,1,1,0.16626742829064553,0.1663902708678828,0.13915,2.50323,0.028383872443373377,1.8918738898756662,1805.97,0.41,122.69,0.27,1511.35,0.24,379.34,0.24,5.84,0.21,680.04,0.16,468.33,0.4,837.71,0.29,30.95,0.1,226.77,0.29,5507.06,0.04,28.05,0.29,28.05,0.29,44.35,0.05,0.1579969278186501
2,3,9,2,1,4,2,4,1,1,2,2,1,1,0.18538688450192875,0.18674835488994782,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.31,141.84,0.28,275.45,0.21,207.93,0.41,280.49,0.34,23.31,0.13,71.05,0.33,53.82,0.09,7544.42,0.42,82.25,0.35,76.9,0.35,880.61,0.09,98.33,0.33,98.33,0.33,0.09551743807078114
3,4,4,4,1,1,2,4,2,2,1,2,1,1,0.14831211953514112,0.14785095000922338,0.14055,1.07786,0.035091501576551526,2.084281650071124,74.0,0.26,236.37,0.23,488.14,0.2,288.49,0.52,614.29,0.7,20.49,0.11,194.57,1.0,41.35,0.05,192.86,0.43,1696.47,0.31,3462.66,0.21,4008.19,0.05,245.55,0.29,245.55,0.26,0.14262915051239092
3,4,8,3,1,3,1,4,5,1,2,2,1,1,0.14586958747057016,0.1472003275667929,0.13284,1.03956,0.033201082069204586,2.029380530973451,3580.51,0.43,96.12,0.31,4.57,0.25,300.6,0.28,7781.01,0.28,570.13,0.25,320.88,0.51,591.36,0.71,31.64,0.16,170.06,1.0,3403.32,0.07,3148.73,0.31,3148.73,0.35,56.99,0.09,0.1369101552580152
1,1,2,2,2,3,1,5,5,1,2,2,2,1,0.1625034125034125,0.1586131586131586,0.13533,2.04326,0.029859710743635658,1.9042207792207793,2010.64,0.3,151.55,0.31,143.07,0.33,451.64,0.28,12023.31,0.36,858.09,0.2,498.14,0.4,867.84,0.33,49.42,0.15,223.53,0.33,5575.59,0.07,3139.48,0.28,3139.48,0.31,62.3,0.09,0.06674910661951297
