sampling,invalid_value,missing_value,floating_point,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,135816.06,0.44,164.17,0.0,56411.52,0.29,581.98,0.0,241960.47,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,835.7,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.07724148945913889
2,4,1,3,1,0.13113,1.90399,0.02961510350619889,2.050428163653663,25077.37,0.43,36.12,0.0,9952.57,0.3,101.32,0.0,48805.22,0.27,207.57,0.0,152.36,0.0,212.5,0.0,12.38,0.0,55.89,0.0,163.73,0.08,32870.55,0.29,32870.55,0.32,40.92,0.0,0.07558536383568444
1,1,5,4,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.32,167443.8,0.35,68.13,0.0,0.044918351945390844
3,4,7,4,1,0.1271,1.0,0.03177751129969559,2.075744680851064,86872.02,0.47,100.58,0.0,37534.55,0.27,361.51,0.0,174113.98,0.29,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,505.53,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06890240809878356
2,1,8,2,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,569.74,0.32,73.36,0.0,10569.91,0.38,158.65,0.0,547.61,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,110.5,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.04436832358678973
2,2,2,4,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,42329.27,0.5,73.36,0.0,17031.15,0.28,158.65,0.0,81514.18,0.25,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,263.42,0.09,50044.96,0.29,50044.96,0.28,50.57,0.0,0.0713899430103612
3,3,4,4,1,0.1271,1.0,0.03177751129969559,2.075744680851064,1279.31,0.27,100.58,0.0,23790.37,0.37,361.51,0.0,1168.66,0.35,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,208.22,0.08,106474.79,0.29,106474.79,0.28,62.13,0.0,0.047223759453975285
2,2,5,1,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,38608.32,0.37,73.36,0.0,15162.12,0.3,158.65,0.0,74756.2,0.27,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,263.01,0.08,50044.96,0.29,50044.96,0.28,50.57,0.0,0.07240931689690283
1,3,8,1,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,1952.19,0.34,164.17,0.0,35608.4,0.36,581.98,0.0,1775.04,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,331.13,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.04532849089304823
3,4,3,3,1,0.1271,1.0,0.03177751129969559,2.075744680851064,88084.99,0.47,100.58,0.0,37430.2,0.28,361.51,0.0,176649.16,0.25,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,500.2,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.07053007849552823
1,4,7,2,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,137272.26,0.39,164.17,0.0,57210.58,0.31,581.98,0.0,245296.31,0.3,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,838.06,0.08,167443.8,0.33,167443.8,0.35,68.13,0.0,0.0760942105941754
