sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,4,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,534013.75,0.36,164.17,0.0,280689.71,0.24,581.98,0.0,141015.15,0.31,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,193629.5,0.08,161658.7,0.31,161658.71,0.35,68.13,0.0,0.11865202428991461
1,3,2,1,2,4,1,0.12139,2.00332,0.026962206439818403,1.9193114577729962,56585.75,0.39,164.17,0.0,74041.25,0.37,581.98,0.0,139630.57,0.36,888.66,0.0,618.02,0.0,1006.71,0.0,44.42,0.0,236.06,0.0,183887.57,0.08,161658.7,0.31,161658.71,0.35,68.13,0.0,0.07576165868214067
3,4,7,4,2,1,1,0.1271,1.0,0.03177751129969559,2.075744680851064,86872.02,0.47,100.58,0.0,37534.55,0.27,361.51,0.0,174113.98,0.29,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,505.53,0.07,106474.79,0.29,106474.79,0.28,62.13,0.0,0.06890240809878356
3,2,5,2,1,4,1,0.1271,1.0,0.03177751129969559,2.075744680851064,331719.51,0.5,100.58,0.0,175454.38,0.27,361.51,0.0,91898.95,0.27,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,139224.66,0.07,96142.96,0.29,96142.96,0.26,62.13,0.0,0.1229994370721717
3,3,4,4,2,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,51006.46,0.37,100.58,0.0,478698.19,0.29,361.51,0.0,88461.13,0.35,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,232.16,0.08,308139.11,0.24,308139.11,0.22,62.13,0.0,0.07138904261206419
2,1,1,3,2,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,517.2,0.29,67.53,0.0,9475.51,0.38,141.84,0.0,477.98,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,97.35,0.09,45081.83,0.32,45081.83,0.33,53.82,0.0,0.04437179320519185
3,4,3,3,1,4,1,0.1271,1.0,0.03177751129969559,2.075744680851064,363812.34,0.53,100.58,0.0,200443.01,0.27,361.51,0.0,101753.99,0.25,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,139417.1,0.07,96142.96,0.3,96142.96,0.26,62.13,0.0,0.12011010415631873
3,2,1,4,1,4,1,0.13726,0.98998,0.034319893007103426,2.111885067479321,228921.43,0.41,56.44,0.0,133330.51,0.27,226.71,0.0,61713.32,0.28,471.58,0.0,239.51,0.0,478.78,0.0,17.58,0.0,153.76,0.0,93390.61,0.07,62930.53,0.29,62930.54,0.28,57.5,0.0,0.11894605184374227
3,4,7,1,1,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,345382.13,0.45,100.58,0.0,2529323.86,0.25,361.51,0.0,161183.86,0.23,631.92,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,195.92,0.07,308139.11,0.23,308139.11,0.22,62.13,0.0,0.11794364937350703
2,1,5,1,2,3,1,0.11884,1.98351,0.026486072205916564,2.001843884449908,1402.92,0.33,73.36,0.0,26600.72,0.33,158.65,0.0,42393.24,0.35,275.45,0.0,226.56,0.0,317.47,0.0,17.37,0.0,68.65,0.0,292.9,0.09,124571.87,0.25,124571.87,0.28,50.57,0.0,0.06655768980778776
