sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,model,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,4,1,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,480323.89,0.4,144.09,0.0,251656.6,0.24,528.56,0.0,126955.89,0.3,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,176056.31,0.08,146659.18,0.33,146659.19,0.35,69.27,0.0,0.11865202428991461
3,1,1,3,2,3,2,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.0,328.25,0.0,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,58.64,0.0,2805.58,0.34,54507.78,0.31,88970.58,0.35,480.19,0.08,241042.81,0.29,0.06775580417153412,,
3,4,5,1,2,2,2,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,90.28,0.0,328.25,0.0,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,58.64,0.0,296948.23,0.46,1976775.44,0.25,144215.18,0.27,156.18,0.07,279503.47,0.22,0.12062952348976691,,
2,1,9,4,2,2,2,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.0,141.84,0.0,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,53.82,0.0,20971.94,0.37,190594.14,0.28,35680.21,0.35,123.58,0.09,126902.45,0.22,0.07233992452886051,,
2,2,5,1,1,3,2,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.0,141.84,0.0,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,53.82,0.0,104322.59,0.46,52714.54,0.24,90441.72,0.27,301.1,0.08,111546.19,0.25,0.11771027391018131,,
1,4,8,2,2,1,2,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,144.09,0.0,528.56,0.0,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,69.27,0.0,123689.99,0.45,51402.62,0.28,222682.61,0.29,743.8,0.08,151907.39,0.35,0.08905036243869047,,
3,2,1,4,1,4,2,1,0.13726,0.98998,0.034319893007103426,2.111885067479321,56.44,0.0,226.71,0.0,471.58,0.0,239.51,0.0,478.78,0.0,17.58,0.0,153.76,0.0,57.5,0.0,228921.43,0.41,133330.51,0.27,61713.32,0.28,93390.61,0.07,62930.54,0.28,0.11585268851415845,,
3,4,2,2,1,2,1,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,314428.69,0.59,90.28,0.0,2288800.63,0.23,328.25,0.0,145806.53,0.25,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,187.72,0.08,279503.47,0.25,279503.47,0.22,58.64,0.0,0.1136556734364711
2,1,7,3,2,3,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,1269.47,0.33,67.53,0.0,23961.93,0.36,141.84,0.0,39524.36,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,257.28,0.09,111546.19,0.27,111546.19,0.25,53.82,0.0,0.06690557687957324
3,2,3,4,1,1,1,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,79103.73,0.45,90.28,0.0,33458.46,0.29,328.25,0.0,158685.84,0.25,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,437.56,0.07,96823.32,0.3,96823.32,0.26,58.64,0.0,0.07053007849552823
3,1,5,1,2,2,1,1,0.13416,1.01257,0.0335425331714614,2.0943934114665823,46051.02,0.35,90.28,0.0,434859.99,0.27,328.25,0.0,80452.26,0.35,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,204.22,0.08,279503.47,0.25,279503.47,0.22,58.64,0.0,0.0701410588995201
1,3,7,4,1,1,2,1,0.12747,2.01854,0.028241944391012717,1.9333333333333333,144.09,0.0,528.56,0.0,888.66,0.0,567.82,0.0,904.76,0.0,42.29,0.0,234.18,0.0,69.27,0.0,1749.29,0.33,32096.07,0.38,1574.05,0.36,297.01,0.08,151907.39,0.35,0.04492024431211335,,
2,3,1,2,2,4,1,1,0.12707,1.98982,0.028291144540506814,2.028865979381443,15892.68,0.4,67.53,0.0,20169.95,0.36,141.84,0.0,38015.85,0.35,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,47031.88,0.09,40791.75,0.31,40791.75,0.33,53.82,0.0,0.0808566811665875
3,4,4,4,1,1,2,1,0.1271,1.0,0.03177751129969559,2.075744680851064,100.58,0.0,361.51,0.0,564.94,0.0,374.83,0.0,721.05,0.0,29.08,0.0,198.97,0.0,62.13,0.0,73193.41,0.48,27963.61,0.27,170094.84,0.25,500.2,0.07,106474.79,0.28,0.0653016048699502,,
