sampling,invalid_value,missing_value,floating_point,unit_converter,distribution_shape,multicollinearity,normalization,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,4,6,2,1,4,1,4,1,0.17547092547092547,0.12747,2.01854,0.028241944391012717,1.9333333333333333,,0.42,12.22,0.31,,0.24,12.05,0.29,,0.3,8.52,0.21,12.78,0.41,6.64,0.34,5.29,0.14,0.0,0.33,,0.08,,0.34,,0.35,44.36,0.1,0.15139501490049556
1,1,5,4,2,4,2,4,1,0.21519246519246518,0.12747,2.01854,0.028241944391012717,1.9333333333333333,12.22,0.31,12.05,0.29,8.52,0.21,12.78,0.41,6.64,0.34,5.29,0.14,0.0,0.33,44.36,0.1,,0.4,,0.34,,0.36,,0.08,,0.35,0.09814343685588567,,
2,1,8,2,2,2,1,5,1,0.1710914454277286,0.12707,1.98982,0.028291144540506814,2.028865979381443,,0.37,9.82,0.31,,0.28,11.46,0.28,,0.35,10.73,0.21,22.37,0.41,5.42,0.34,7.39,0.13,2.75,0.33,,0.09,,0.23,,0.22,29.76,0.09,0.07335582879700003
3,3,4,4,2,2,1,2,1,0.1659287954251983,0.1271,1.0,0.03177751129969559,2.075744680851064,939.76,0.37,100.58,0.31,939.76,0.29,361.51,0.28,939.76,0.35,564.94,0.23,374.83,0.52,721.05,0.71,29.08,0.16,198.97,1.0,939.76,0.08,939.76,0.21,939.76,0.22,62.13,0.09,0.07138904261206419
1,3,8,1,2,4,1,4,1,0.1872099372099372,0.12747,2.01854,0.028241944391012717,1.9333333333333333,,0.4,12.22,0.31,,0.34,12.05,0.29,,0.36,8.52,0.21,12.78,0.41,6.64,0.34,5.29,0.14,0.0,0.33,,0.08,,0.34,,0.35,44.36,0.1,0.09875391436056549
1,4,7,2,1,4,1,5,1,0.18052143052143052,0.12747,2.01854,0.028241944391012717,1.9333333333333333,,0.4,12.22,0.31,,0.25,12.05,0.29,,0.29,8.52,0.21,12.78,0.41,6.64,0.34,5.29,0.14,0.0,0.33,,0.08,,0.34,,0.35,44.36,0.1,0.15148572234539429
3,4,7,1,1,2,1,1,1,0.14822397379465657,0.13416,1.01257,0.0335425331714614,2.0943934114665823,312028.31,0.43,90.28,0.0,2277994.99,0.23,328.25,0.0,145512.94,0.25,631.92,0.0,349.18,0.0,653.43,0.0,30.74,0.0,200.35,0.0,170.07,0.07,279503.47,0.25,279503.47,0.22,58.64,0.0,0.11794364937350703
2,1,7,3,2,3,1,5,1,0.17245291581574768,0.12707,1.98982,0.028291144540506814,2.028865979381443,,0.33,9.82,0.31,,0.36,11.46,0.28,,0.35,10.73,0.21,22.37,0.41,5.42,0.34,7.39,0.13,2.75,0.33,,0.09,,0.26,,0.25,29.76,0.09,0.06552096782923555
2,2,9,2,1,2,2,1,1,0.1617880644429317,0.12707,1.98982,0.028291144540506814,2.028865979381443,67.53,0.0,141.84,0.0,275.45,0.0,207.93,0.0,280.49,0.0,23.31,0.0,71.05,0.0,53.82,0.0,143380.91,0.43,1014349.2,0.21,65705.55,0.25,118.24,0.09,126902.45,0.22,0.11191069109709796,,
2,1,7,2,1,1,2,4,1,0.18266394372589062,0.12707,1.98982,0.028291144540506814,2.028865979381443,9.82,0.31,11.46,0.28,10.73,0.21,22.37,0.41,5.42,0.34,7.39,0.13,2.75,0.33,29.76,0.09,,0.29,,0.38,,0.35,,0.09,,0.33,0.04059361007318119,,
