missing_value,normalization,model,index_df1,index_df2,similarity
1,1,1,0,0,0.9999999551584065
1,2,1,1,1,0.9999977602136122
1,3,1,2,2,0.9999999764987934
1,4,1,3,3,0.9405453433285503
1,5,1,4,4,0.9386731962098237
2,1,1,5,5,0.9999999683713003
2,2,1,6,6,0.9999979738277511
2,3,1,7,7,0.9999999884897597
2,4,1,8,8,0.9424503120770763
2,5,1,9,9,0.9409702666933455
3,1,1,10,10,0.9999999683713003
3,2,1,11,11,0.9999977851553625
3,3,1,12,12,0.9999999884897596
3,4,1,13,13,0.9424503123760931
3,5,1,14,14,0.9409702668911507
4,1,1,15,15,0.9999999683713003
4,2,1,16,16,0.9999975207707786
4,3,1,17,17,0.9999999884897596
4,4,1,18,18,0.9424503127919263
4,5,1,19,19,0.9409702671639701
5,1,1,20,20,0.9999999683713003
5,2,1,21,21,0.9999971814078762
5,3,1,22,22,0.9999999884897596
5,4,1,23,23,0.9424503133329457
5,5,1,24,24,0.9409702675241289
6,1,1,25,25,0.9999999683713003
6,2,1,26,26,0.9999967663351542
6,3,1,27,27,0.9999999884897596
6,4,1,28,28,0.9424503139907825
6,5,1,29,29,0.940970267959301
7,1,1,30,30,0.9999999683713003
7,2,1,31,31,0.9999962757985255
7,3,1,32,32,0.9999999884897596
7,4,1,33,33,0.9424503147682257
7,5,1,34,34,0.9409702684735964
8,1,1,35,35,0.9999999683713003
8,2,1,36,36,0.9999957097999197
8,3,1,37,37,0.9999999884897596
8,4,1,38,38,0.9424503156652758
8,5,1,39,39,0.9409702690670144
9,1,1,40,40,0.9999999683713003
9,2,1,41,41,0.9999950683415643
9,3,1,42,42,0.9999999884897597
9,4,1,43,43,0.9424503166819328
9,5,1,44,44,0.9409702697395549
