missing_value,normalization,outlier,model,index_df1,index_df2,similarity
1,1,1,1,0,0,0.8411977385985745
1,1,2,1,1,1,0.8197150043534831
1,1,3,1,2,2,0.8555943222634164
1,1,4,1,3,3,0.8413518142668794
1,1,5,1,4,4,0.8415930354938523
1,1,6,1,5,5,0.8383597119987293
1,1,7,1,6,6,0.8386375517868638
1,2,1,1,7,7,0.9994427572814968
1,2,2,1,8,8,0.9402037011831934
1,2,3,1,9,9,0.9984951928674723
1,2,4,1,10,10,0.9992149009562266
1,2,5,1,11,11,0.9994737606095256
1,2,6,1,12,12,0.9992884192116678
1,2,7,1,13,13,0.9990740424562978
1,3,1,1,14,14,0.9990047485023055
1,3,2,1,15,15,0.9954394828773641
1,3,3,1,16,16,0.9970165770934505
1,3,4,1,17,17,0.9981552666935313
1,3,5,1,18,18,0.9983694781407608
1,3,6,1,19,19,0.9980467749582159
1,3,7,1,20,20,0.9981705748049001
1,4,1,1,21,21,0.8761513483861493
1,4,2,1,22,22,0.8568787679692071
1,4,3,1,23,23,0.8764518966448899
1,4,4,1,24,24,0.8814567819106728
1,4,5,1,25,25,0.8829400954243777
1,4,6,1,26,26,0.8796504879618294
1,4,7,1,27,27,0.87762880660834
1,5,1,1,28,28,0.8738872609494492
1,5,2,1,29,29,0.8559259548434646
1,5,3,1,30,30,0.8785297354819086
1,5,4,1,31,31,0.8819792655753641
1,5,5,1,32,32,0.8840984616288142
1,5,6,1,33,33,0.8791280766623343
1,5,7,1,34,34,0.8768998246245293
2,1,1,1,35,35,0.838903519909097
2,1,2,1,36,36,0.8172901720550314
2,1,3,1,37,37,0.8525509129075228
2,1,4,1,38,38,0.838040483243756
2,1,5,1,39,39,0.8382838030151243
2,1,6,1,40,40,0.8360178256386676
2,1,7,1,41,41,0.8352686169059187
2,2,1,1,42,42,0.9996600793161694
2,2,2,1,43,43,0.9747514497621375
2,2,3,1,44,44,0.9991143113009996
2,2,4,1,45,45,0.9993973101660532
2,2,5,1,46,46,0.9996574626483801
2,2,6,1,47,47,0.9995557717669141
2,2,7,1,48,48,0.9994863876068227
2,3,1,1,49,49,0.9925413027309739
2,3,2,1,50,50,0.9865775590599423
2,3,3,1,51,51,0.9894801857533728
2,3,4,1,52,52,0.9897763773199137
2,3,5,1,53,53,0.990025648926173
2,3,6,1,54,54,0.9902933661114441
2,3,7,1,55,55,0.9909834881337352
2,4,1,1,56,56,0.8778954979868402
2,4,2,1,57,57,0.8523299760128187
2,4,3,1,58,58,0.8756013674329235
2,4,4,1,59,59,0.8842932004039928
2,4,5,1,60,60,0.8849104480726735
2,4,6,1,61,61,0.8812114850375401
2,4,7,1,62,62,0.8794014742904519
2,5,1,1,63,63,0.8751650875690201
2,5,2,1,64,64,0.8492878480241245
2,5,3,1,65,65,0.8761756468271291
