missing_value,normalization,outlier,model,index_df1,index_df2,similarity
1,1,1,1,0,0,0.9999835086425632
1,1,2,1,1,1,0.9999748045267445
1,1,3,1,2,2,0.9999829041798046
1,1,4,1,3,3,0.9999992116860518
1,1,5,1,4,4,0.9999978230834702
1,1,6,1,5,5,0.9999984117782887
1,1,7,1,6,6,0.9999986276671907
1,2,1,1,7,7,0.9999999999741881
1,2,2,1,8,8,0.999999999940799
1,2,3,1,9,9,0.9999999999076076
1,2,4,1,10,10,0.9999999999507277
1,2,5,1,11,11,0.9999999999253959
1,2,6,1,12,12,0.9999999999474843
1,2,7,1,13,13,0.9999999999260474
1,3,1,1,14,14,0.9999999999741881
1,3,2,1,15,15,0.999999999940799
1,3,3,1,16,16,0.9999999999539009
1,3,4,1,17,17,0.9999999999068389
1,3,5,1,18,18,0.9999999999551343
1,3,6,1,19,19,0.9999999999561989
1,3,7,1,20,20,0.9999999999053971
1,4,1,1,21,21,0.9999999999741881
1,4,2,1,22,22,0.999999999940799
1,4,3,1,23,23,0.9999999999404848
1,4,4,1,24,24,0.9999999999277576
1,4,5,1,25,25,0.9999999999118336
1,4,6,1,26,26,0.9999999999286723
1,4,7,1,27,27,0.9999999999226211
1,5,1,1,28,28,0.9999999999741881
1,5,2,1,29,29,0.999999999940799
1,5,3,1,30,30,0.999999999940331
1,5,4,1,31,31,0.9999999999180491
1,5,5,1,32,32,0.99999999995618
1,5,6,1,33,33,0.9999999999562224
1,5,7,1,34,34,0.999999999940687
2,1,1,1,35,35,0.9999835086425632
2,1,2,1,36,36,0.9999748045267445
2,1,3,1,37,37,0.9999829041798046
2,1,4,1,38,38,0.9999992116860518
2,1,5,1,39,39,0.9999978230834702
2,1,6,1,40,40,0.9999984117782887
2,1,7,1,41,41,0.9999986276671907
2,2,1,1,42,42,0.9999999999741881
2,2,2,1,43,43,0.999999999940799
2,2,3,1,44,44,0.9999999999076076
2,2,4,1,45,45,0.9999999999507277
2,2,5,1,46,46,0.9999999999253959
2,2,6,1,47,47,0.9999999999474843
2,2,7,1,48,48,0.9999999999260474
2,3,1,1,49,49,0.9999999999741881
2,3,2,1,50,50,0.999999999940799
2,3,3,1,51,51,0.9999999999539009
2,3,4,1,52,52,0.9999999999068389
2,3,5,1,53,53,0.9999999999551343
2,3,6,1,54,54,0.9999999999561989
2,3,7,1,55,55,0.9999999999053971
2,4,1,1,56,56,0.9999999999741881
2,4,2,1,57,57,0.999999999940799
2,4,3,1,58,58,0.9999999999404848
2,4,4,1,59,59,0.9999999999277576
2,4,5,1,60,60,0.9999999999118336
2,4,6,1,61,61,0.9999999999286723
2,4,7,1,62,62,0.9999999999226211
2,5,1,1,63,63,0.9999999999741881
2,5,2,1,64,64,0.999999999940799
2,5,3,1,65,65,0.999999999940331
2,5,4,1,66,66,0.9999999999180491
2,5,5,1,67,67,0.99999999995618
2,5,6,1,68,68,0.9999999999562224
2,5,7,1,69,69,0.999999999940687
3,1,1,1,70,70,0.9999835086425632
3,1,2,1,71,71,0.9999748045267445
3,1,3,1,72,72,0.9999829041798046
3,1,4,1,73,73,0.9999992116860518
3,1,5,1,74,74,0.9999978230834702
3,1,6,1,75,75,0.9999984117782887
3,1,7,1,76,76,0.9999986276671907
3,2,1,1,77,77,0.9999999999741881
3,2,2,1,78,78,0.999999999940799
3,2,3,1,79,79,0.9999999999076076
3,2,4,1,80,80,0.9999999999507277
3,2,5,1,81,81,0.9999999999253959
3,2,6,1,82,82,0.9999999999474843
3,2,7,1,83,83,0.9999999999260474
3,3,1,1,84,84,0.9999999999741881
3,3,2,1,85,85,0.999999999940799
3,3,3,1,86,86,0.9999999999539009
3,3,4,1,87,87,0.9999999999068389
3,3,5,1,88,88,0.9999999999551343
3,3,6,1,89,89,0.9999999999561989
3,3,7,1,90,90,0.9999999999053971
3,4,1,1,91,91,0.9999999999741881
