missing_value,normalization,model,index_df1,index_df2,similarity
1,1,1,0,0,0.5883941122382109
1,1,1,0,1,0.6106628900548904
1,1,1,0,2,0.625552719800915
1,1,1,0,3,0.5956858927294865
1,1,1,0,4,0.5898778594747367
1,1,1,0,5,0.5877716761936825
1,1,1,0,6,0.5876935851487456
1,2,1,1,7,0.8135508547767076
1,2,1,1,8,0.7824432810803529
1,2,1,1,9,0.816806155291496
1,2,1,1,10,0.8150318987499432
1,2,1,1,11,0.8154826079158964
1,2,1,1,12,0.8164018330265634
1,2,1,1,13,0.8192185329482748
1,3,1,2,14,0.19764772186668428
1,3,1,2,15,0.24943358302628302
1,3,1,2,16,0.21189582555552888
1,3,1,2,17,0.20831832635555733
1,3,1,2,18,0.2074645721875322
1,3,1,2,19,0.206818704774292
1,3,1,2,20,0.20870021982044903
1,4,1,3,21,0.552881954242848
1,4,1,3,22,0.54675560059105
1,4,1,3,23,0.5553547746573214
1,4,1,3,24,0.5672329182718231
1,4,1,3,25,0.5654693213918419
1,4,1,3,26,0.5614335563825014
1,4,1,3,27,0.5595590272540493
1,5,1,4,28,0.4580499745984387
1,5,1,4,29,0.45856356807558807
1,5,1,4,30,0.46083211934637036
1,5,1,4,31,0.4701636339427702
1,5,1,4,32,0.47309013349675955
1,5,1,4,33,0.4673482085402826
1,5,1,4,34,0.4646415168399244
2,1,1,5,35,0.8389034804005556
2,1,1,5,36,0.8321926246987936
2,1,1,5,37,0.866619239982125
2,1,1,5,38,0.8468193617206143
2,1,1,5,39,0.8404433841245541
2,1,1,5,40,0.8371139090472194
2,1,1,5,41,0.8362905636206673
2,2,1,6,42,0.8234123694065482
2,2,1,6,43,0.8280592981406774
2,2,1,6,44,0.8244797139911478
2,2,1,6,45,0.8229091950507313
2,2,1,6,46,0.8258135641872354
2,2,1,6,47,0.8272468053294058
2,2,1,6,48,0.8287134092053813
2,3,1,7,49,0.30571046467495905
2,3,1,7,50,0.3130367145989206
2,3,1,7,51,0.2979738399301318
2,3,1,7,52,0.3061160374780189
2,3,1,7,53,0.3063819960248311
2,3,1,7,54,0.30453120994063615
2,3,1,7,55,0.30656712228205535
2,4,1,8,56,0.5826791129561668
2,4,1,8,57,0.5615039538029504
2,4,1,8,58,0.5836959871979522
2,4,1,8,59,0.5839718659439815
2,4,1,8,60,0.5849784372757448
2,4,1,8,61,0.5846888319459169
