missing_value,normalization,model,index_df1,index_df2,similarity
1,1,1,0,0,0.9999835086426159
1,1,1,0,1,0.9996562038103161
1,1,1,0,2,0.9999881690905282
1,1,1,0,3,0.9999885110493201
1,1,1,0,4,0.9999997151142578
1,1,1,0,5,0.9999934980183034
1,1,1,0,6,0.9999710044431451
1,2,1,1,7,0.9999999998546678
1,2,1,1,8,0.9999999998372138
1,2,1,1,9,0.9999999998326362
1,2,1,1,10,0.9999999998543969
1,2,1,1,11,0.9999999998588016
1,2,1,1,12,0.9999999998236063
1,2,1,1,13,0.9999999998268878
1,3,1,2,14,0.9999999998738784
1,3,1,2,15,0.9999999998334023
1,3,1,2,16,0.9999999998753922
1,3,1,2,17,0.9999999998392218
1,3,1,2,18,0.9999999998820331
1,3,1,2,19,0.9999999998652795
1,3,1,2,20,0.999999999825266
1,4,1,3,21,0.9999999999742788
1,4,1,3,22,0.9999999999356148
1,4,1,3,23,0.9999999999463677
1,4,1,3,24,0.9999999999587272
1,4,1,3,25,0.9999999999619877
1,4,1,3,26,0.9999999999794981
1,4,1,3,27,0.9999999999551704
1,5,1,4,28,0.999999999832102
1,5,1,4,29,0.9999999998047319
1,5,1,4,30,0.9999999998128459
1,5,1,4,31,0.999999999803173
1,5,1,4,32,0.9999999998324658
1,5,1,4,33,0.9999999998474323
1,5,1,4,34,0.999999999777623
2,1,1,5,35,0.9989037159747951
2,1,1,5,36,0.9981298121588571
2,1,1,5,37,0.9991398868041922
2,1,1,5,38,0.9991386769594824
2,1,1,5,39,0.9990617319284215
2,1,1,5,40,0.9989603394525642
2,1,1,5,41,0.9988503644358241
2,2,1,6,42,0.9999999998351725
2,2,1,6,43,0.9999999998264392
2,2,1,6,44,0.9999999998206006
2,2,1,6,45,0.9999999998704556
2,2,1,6,46,0.9999999998383262
2,2,1,6,47,0.9999999998315975
2,2,1,6,48,0.9999999998445304
2,3,1,7,49,0.9999999998306228
2,3,1,7,50,0.9999999997944491
2,3,1,7,51,0.9999999998014109
2,3,1,7,52,0.9999999997695354
2,3,1,7,53,0.9999999998164264
2,3,1,7,54,0.9999999998143557
2,3,1,7,55,0.9999999997756395
2,4,1,8,56,0.9999999998850012
2,4,1,8,57,0.9999999998631772
2,4,1,8,58,0.9999999999027992
2,4,1,8,59,0.9999999998828314
2,4,1,8,60,0.9999999998939454
2,4,1,8,61,0.9999999999120226
2,4,1,8,62,0.9999999998808233
2,5,1,9,63,0.9999999998857145
2,5,1,9,64,0.9999999998642009
2,5,1,9,65,0.9999999998689676
2,5,1,9,66,0.9999999998650156
2,5,1,9,67,0.9999999998921402
2,5,1,9,68,0.9999999999093541
2,5,1,9,69,0.9999999998397727
3,1,1,10,70,0.9989037140827383
3,1,1,10,71,0.9981298421602934
3,1,1,10,72,0.9991398744766087
3,1,1,10,73,0.9991386712255658
3,1,1,10,74,0.9990617250052357
3,1,1,10,75,0.9989603359893309
3,1,1,10,76,0.9988503638995613
3,2,1,11,77,0.9999999998313142
3,2,1,11,78,0.9999999998222182
3,2,1,11,79,0.9999999998166819
3,2,1,11,80,0.999999999838399
3,2,1,11,81,0.9999999998343231
3,2,1,11,82,0.9999999998000048
3,2,1,11,83,0.99999999981283
3,3,1,12,84,0.9999999999002205
3,3,1,12,85,0.999999999862484
3,3,1,12,86,0.9999999998549588
3,3,1,12,87,0.9999999998435495
3,3,1,12,88,0.9999999998864135
3,3,1,12,89,0.9999999998931867
3,3,1,12,90,0.9999999998533476
3,4,1,13,91,0.9999999998357942
3,4,1,13,92,0.9999999997870185
3,4,1,13,93,0.9999999998304816
3,4,1,13,94,0.9999999998074948
3,4,1,13,95,0.9999999998385917
3,4,1,13,96,0.9999999998559532
3,4,1,13,97,0.9999999998068422
3,5,1,14,98,0.9999999998850012
3,5,1,14,99,0.9999999998631772
3,5,1,14,100,0.9999999998977307
3,5,1,14,101,0.9999999998924924
3,5,1,14,102,0.9999999998952032
3,5,1,14,103,0.9999999999096643
3,5,1,14,104,0.9999999998704147
4,1,1,15,105,0.9994436215762681
4,1,1,15,106,0.998893028058897
4,1,1,15,107,0.9995640342247554
4,1,1,15,108,0.9995636016886636
4,1,1,15,109,0.9995307333655266
4,1,1,15,110,0.9994769305929763
4,1,1,15,111,0.9994106966882655
4,2,1,16,112,0.9999999998594241
4,2,1,16,113,0.9999999998502833
4,2,1,16,114,0.9999999998412314
4,2,1,16,115,0.9999999998425478
4,2,1,16,116,0.9999999998344185
4,2,1,16,117,0.9999999998276257
4,2,1,16,118,0.9999999998154622
4,3,1,17,119,0.9999999998164498
4,3,1,17,120,0.999999999799529
4,3,1,17,121,0.9999999997686789
4,3,1,17,122,0.9999999997884592
4,3,1,17,123,0.9999999997942816
4,3,1,17,124,0.99999999979939
4,3,1,17,125,0.9999999997984428
4,4,1,18,126,0.9999999999742788
4,4,1,18,127,0.9999999999356148
4,4,1,18,128,0.9999999999463677
4,4,1,18,129,0.9999999999587272
4,4,1,18,130,0.9999999999619877
4,4,1,18,131,0.9999999999794981
4,4,1,18,132,0.9999999999551704
4,5,1,19,133,0.9999999999744269
4,5,1,19,134,0.9999999999358878
4,5,1,19,135,0.9999999999213028
4,5,1,19,136,0.9999999999532444
4,5,1,19,137,0.9999999999884407
4,5,1,19,138,0.9999999999604853
4,5,1,19,139,0.9999999999203768
5,1,1,20,140,0.998903714481299
5,1,1,20,141,0.9981298429002412
5,1,1,20,142,0.9991398748633137
5,1,1,20,143,0.9991386716846834
5,1,1,20,144,0.9990617255864881
5,1,1,20,145,0.9989603367275339
5,1,1,20,146,0.998850364581613
5,2,1,21,147,0.9999999998346071
5,2,1,21,148,0.9999999998256882
5,2,1,21,149,0.9999999998201731
5,2,1,21,150,0.9999999998423352
5,2,1,21,151,0.9999999998383188
5,2,1,21,152,0.9999999998041562
5,2,1,21,153,0.9999999998169072
5,3,1,22,154,0.9999999999237749
5,3,1,22,155,0.9999999998835252
5,3,1,22,156,0.9999999999002064
5,3,1,22,157,0.9999999998972113
5,3,1,22,158,0.9999999999620485
5,3,1,22,159,0.9999999999221145
5,3,1,22,160,0.9999999999140002
5,4,1,23,161,0.9999999998895553
5,4,1,23,162,0.9999999998467607
5,4,1,23,163,0.9999999998864919
5,4,1,23,164,0.9999999998664192
5,4,1,23,165,0.9999999998979836
5,4,1,23,166,0.9999999999155516
5,4,1,23,167,0.9999999998646795
5,5,1,24,168,0.9999999998359425
5,5,1,24,169,0.9999999997872915
5,5,1,24,170,0.9999999998340234
5,5,1,24,171,0.999999999827121
5,5,1,24,172,0.9999999998380553
5,5,1,24,173,0.9999999998299525
5,5,1,24,174,0.9999999997904088
6,1,1,25,175,0.9989036720517406
6,1,1,25,176,0.9981297640417253
6,1,1,25,177,0.9991398400250778
6,1,1,25,178,0.9991386329346073
6,1,1,25,179,0.9990616802196431
6,1,1,25,180,0.9989602869789754
6,1,1,25,181,0.9988503145229363
6,2,1,26,182,0.9999999998811
6,2,1,26,183,0.9999999998747677
6,2,1,26,184,0.9999999998660917
6,2,1,26,185,0.9999999999217013
6,2,1,26,186,0.9999999998870968
6,2,1,26,187,0.9999999998814734
6,2,1,26,188,0.999999999894831
6,3,1,27,189,0.9999999999255084
6,3,1,27,190,0.9999999998859078
6,3,1,27,191,0.9999999999028184
6,3,1,27,192,0.9999999998952531
6,3,1,27,193,0.9999999999642011
6,3,1,27,194,0.9999999999241055
6,3,1,27,195,0.999999999911971
6,4,1,28,196,0.9999999998927002
6,4,1,28,197,0.9999999998499577
6,4,1,28,198,0.9999999998897288
6,4,1,28,199,0.9999999998698474
6,4,1,28,200,0.9999999999015027
6,4,1,28,201,0.9999999999189104
6,4,1,28,202,0.9999999998679914
6,5,1,29,203,0.9999999998359425
6,5,1,29,204,0.9999999997872915
6,5,1,29,205,0.9999999998340234
6,5,1,29,206,0.999999999827121
6,5,1,29,207,0.9999999998380553
6,5,1,29,208,0.9999999998299525
6,5,1,29,209,0.9999999997904088
7,1,1,30,210,0.9989037140827383
7,1,1,30,211,0.9981298421602934
7,1,1,30,212,0.9991398744766087
7,1,1,30,213,0.9991386712255658
7,1,1,30,214,0.9990617250052357
7,1,1,30,215,0.9989603359893309
7,1,1,30,216,0.9988503638995613
7,2,1,31,217,0.9999999998272858
7,2,1,31,218,0.9999999998151846
7,2,1,31,219,0.9999999998086431
7,2,1,31,220,0.999999999862332
7,2,1,31,221,0.9999999998257949
7,2,1,31,222,0.9999999998203388
7,2,1,31,223,0.999999999834302
7,3,1,32,224,0.9999999999252612
7,3,1,32,225,0.9999999998848281
7,3,1,32,226,0.9999999999210486
7,3,1,32,227,0.9999999998983058
7,3,1,32,228,0.9999999999389084
7,3,1,32,229,0.9999999999227572
7,3,1,32,230,0.9999999998897383
7,4,1,33,231,0.9999999998319538
7,4,1,33,232,0.9999999998044589
7,4,1,33,233,0.9999999998735852
7,4,1,33,234,0.9999999998536988
7,4,1,33,235,0.9999999998596233
7,4,1,33,236,0.9999999998534667
