missing_value,fselection,normalization,similarities
1,1,1,0.5883941122382109
1,1,2,0.5883941122382109
1,1,3,0.5883941122382109
1,1,4,0.5883941122382109
1,1,5,0.5883941122382109
2,1,1,0.8389034804005556
2,1,2,0.8389034804005556
2,1,3,0.8389034804005556
2,1,4,0.8389034804005556
2,1,5,0.8389034804005556
3,1,1,0.6234285440073708
3,1,2,0.6234285440073708
3,1,3,0.6234285440073708
3,1,4,0.6234285440073708
3,1,5,0.6234285440073708
4,1,1,0.6234200073765551
4,1,2,0.6234200073765551
4,1,3,0.6234200073765551
4,1,4,0.6234200073765551
4,1,5,0.6234200073765551
5,1,1,0.8389030769291493
5,1,2,0.8389030769291493
5,1,3,0.8389030769291493
5,1,4,0.8389030769291493
5,1,5,0.8389030769291493
6,1,1,0.6228325956273649
6,1,2,0.6228325956273649
6,1,3,0.6228325956273649
6,1,4,0.6228325956273649
6,1,5,0.6228325956273649
7,1,1,0.6228325956273649
7,1,2,0.6228325956273649
7,1,3,0.6228325956273649
7,1,4,0.6228325956273649
7,1,5,0.6228325956273649
8,1,1,0.6234285440073708
8,1,2,0.6234285440073708
8,1,3,0.6234285440073708
8,1,4,0.6234285440073708
8,1,5,0.6234285440073708
9,1,1,0.8389030769291493
9,1,2,0.8389030769291493
9,1,3,0.8389030769291493
9,1,4,0.8389030769291493
9,1,5,0.8389030769291493
