missing_value,normalization,outlier,similarities
1,1,1,0.841197695465262
1,1,2,0.841197695465262
1,1,3,0.841197695465262
1,1,4,0.841197695465262
1,1,5,0.841197695465262
1,1,6,0.841197695465262
1,1,7,0.841197695465262
1,2,1,0.9994424372512138
1,2,2,0.9994424372512138
1,2,3,0.9994424372512138
1,2,4,0.9994424372512138
1,2,5,0.9994424372512138
1,2,6,0.9994424372512138
1,2,7,0.9994424372512138
1,3,1,0.9990041342105164
1,3,2,0.9990041342105164
1,3,3,0.9990041342105164
1,3,4,0.9990041342105164
1,3,5,0.9990041342105164
1,3,6,0.9990041342105164
1,3,7,0.9990041342105164
1,4,1,0.87614182772431
1,4,2,0.87614182772431
1,4,3,0.87614182772431
1,4,4,0.87614182772431
1,4,5,0.87614182772431
1,4,6,0.87614182772431
1,4,7,0.87614182772431
1,5,1,0.87387215182691
1,5,2,0.87387215182691
1,5,3,0.87387215182691
1,5,4,0.87387215182691
1,5,5,0.87387215182691
1,5,6,0.87387215182691
1,5,7,0.87387215182691
2,1,1,0.8389034804005556
2,1,2,0.8389034804005556
2,1,3,0.8389034804005556
2,1,4,0.8389034804005556
2,1,5,0.8389034804005556
2,1,6,0.8389034804005556
2,1,7,0.8389034804005556
2,2,1,0.9996599405806631
2,2,2,0.9996599405806631
2,2,3,0.9996599405806631
2,2,4,0.9996599405806631
2,2,5,0.9996599405806631
2,2,6,0.9996599405806631
2,2,7,0.9996599405806631
2,3,1,0.9925350142342316
2,3,2,0.9925350142342316
2,3,3,0.9925350142342316
2,3,4,0.9925350142342316
2,3,5,0.9925350142342316
2,3,6,0.9925350142342316
2,3,7,0.9925350142342316
2,4,1,0.8778891578565624
2,4,2,0.8778891578565624
2,4,3,0.8778891578565624
2,4,4,0.8778891578565624
2,4,5,0.8778891578565624
2,4,6,0.8778891578565624
2,4,7,0.8778891578565624
2,5,1,0.8751533270068032
2,5,2,0.8751533270068032
2,5,3,0.8751533270068032
2,5,4,0.8751533270068032
2,5,5,0.8751533270068032
2,5,6,0.8751533270068032
2,5,7,0.8751533270068032
3,1,1,0.8389034804005556
3,1,2,0.8389034804005556
3,1,3,0.8389034804005556
3,1,4,0.8389034804005556
3,1,5,0.8389034804005556
3,1,6,0.8389034804005556
3,1,7,0.8389034804005556
3,2,1,0.9996599405806631
3,2,2,0.9996599405806631
3,2,3,0.9996599405806631
3,2,4,0.9996599405806631
3,2,5,0.9996599405806631
3,2,6,0.9996599405806631
3,2,7,0.9996599405806631
3,3,1,0.9925350142342316
3,3,2,0.9925350142342316
3,3,3,0.9925350142342316
3,3,4,0.9925350142342316
3,3,5,0.9925350142342316
3,3,6,0.9925350142342316
3,3,7,0.9925350142342316
3,4,1,0.8778891578565624
3,4,2,0.8778891578565624
3,4,3,0.8778891578565624
3,4,4,0.8778891578565624
3,4,5,0.8778891578565624
3,4,6,0.8778891578565624
3,4,7,0.8778891578565624
3,5,1,0.8751533270068032
3,5,2,0.8751533270068032
3,5,3,0.8751533270068032
3,5,4,0.8751533270068032
3,5,5,0.8751533270068032
3,5,6,0.8751533270068032
3,5,7,0.8751533270068032
4,1,1,0.838900623411456
4,1,2,0.838900623411456
4,1,3,0.838900623411456
4,1,4,0.838900623411456
4,1,5,0.838900623411456
4,1,6,0.838900623411456
4,1,7,0.838900623411456
4,2,1,0.9995519314070914
4,2,2,0.9995519314070914
4,2,3,0.9995519314070914
4,2,4,0.9995519314070914
4,2,5,0.9995519314070914
