missing_value,normalization,model,similarities
1,1,1,0.841197795626604
1,2,1,0.999438025459286
1,3,1,0.9989999356066023
1,4,1,0.876167722557721
1,5,1,0.8739101000348941
2,1,1,0.8389035672881818
2,2,1,0.9996587124535776
2,3,1,0.9925444278364269
2,4,1,0.8779069830209586
2,5,1,0.8751823231777872
3,1,1,0.8389035672881818
3,2,1,0.9996587124535776
3,3,1,0.9925444278364269
3,4,1,0.8779069830209586
3,5,1,0.8751823231777872
4,1,1,0.8389007103019023
4,2,1,0.9995509418633646
4,3,1,0.9920480819650535
4,4,1,0.8777468847642577
4,5,1,0.874751506353468
5,1,1,0.8389035672881818
5,2,1,0.9996587124535776
5,3,1,0.9925444278364269
5,4,1,0.8779069830209586
5,5,1,0.8751823231777872
6,1,1,0.8389035672881818
6,2,1,0.9996587124535776
6,3,1,0.9925444278364269
6,4,1,0.8779069830209586
6,5,1,0.8751823231777872
7,1,1,0.8389035672881818
7,2,1,0.9996587124535776
7,3,1,0.9925444278364269
7,4,1,0.8779069830209586
7,5,1,0.8751823231777872
8,1,1,0.8389035672881818
8,2,1,0.9996587124535776
8,3,1,0.9925444278364269
8,4,1,0.8779069830209586
8,5,1,0.8751823231777872
9,1,1,0.8389035672881818
9,2,1,0.9996587124535776
9,3,1,0.9925444278364269
9,4,1,0.8779069830209586
9,5,1,0.8751823231777872
