missing_value,normalization,outlier,model,cosine_similarity
1,1,1,1,0.999946684574825
1,1,2,1,0.9985126316822769
1,1,3,1,0.9952280602665348
1,1,4,1,0.9988246748016969
1,1,5,1,0.9998811828287825
1,1,6,1,0.9999187948849065
1,1,7,1,0.9999251507433088
1,2,1,1,0.9994380430186506
1,2,2,1,0.7079111922328363
1,2,3,1,0.9987874325046969
1,2,4,1,0.9994270123500851
1,2,5,1,0.9994313438055518
1,2,6,1,0.9986384541959048
1,2,7,1,0.9987032000981922
1,3,1,1,0.9957954116895852
1,3,2,1,0.9786162131929445
1,3,3,1,0.9951076748778097
1,3,4,1,0.9945083809007285
1,3,5,1,0.9943130085279515
1,3,6,1,0.9950122277334105
1,3,7,1,0.9947701826224123
1,4,1,1,0.9991397676252612
1,4,2,1,0.9978153142784366
1,4,3,1,0.9988572833626296
1,4,4,1,0.9975750148169686
1,4,5,1,0.9968094806561385
1,4,6,1,0.9962463909688486
1,4,7,1,0.996220173172251
1,5,1,1,0.9990745827824485
1,5,2,1,0.9979331170078007
1,5,3,1,0.9988923171101806
1,5,4,1,0.9975498817328694
1,5,5,1,0.9965628643163855
1,5,6,1,0.9960126374807196
1,5,7,1,0.9961096671777313
2,1,1,1,0.9999187806095431
2,1,2,1,0.9983001339711616
2,1,3,1,0.9952196180319478
2,1,4,1,0.9985938259124091
2,1,5,1,0.9998096616882255
2,1,6,1,0.9999149544187904
2,1,7,1,0.9999144135081048
2,2,1,1,0.9996587279614495
2,2,2,1,0.7263092182279469
2,2,3,1,0.9990362205935934
2,2,4,1,0.9995647733229599
2,2,5,1,0.999507167841759
2,2,6,1,0.9990441990746496
2,2,7,1,0.9988266888402428
2,3,1,1,0.9994754706478693
2,3,2,1,0.9806083207921809
2,3,3,1,0.9989277348745991
2,3,4,1,0.9991069048450424
2,3,5,1,0.9989171216455428
2,3,6,1,0.9990794148172758
2,3,7,1,0.9990352935817152
2,4,1,1,0.9993472388501368
2,4,2,1,0.9975356495436243
2,4,3,1,0.9991125647191023
2,4,4,1,0.9981221097004539
2,4,5,1,0.9974090576228183
2,4,6,1,0.9970983611323673
2,4,7,1,0.9970584633372668
2,5,1,1,0.9992946409411202
2,5,2,1,0.9977133954194267
2,5,3,1,0.9992051440752098
2,5,4,1,0.9979539438604647
2,5,5,1,0.9970765536786109
2,5,6,1,0.996953010713848
2,5,7,1,0.9968522411985111
3,1,1,1,0.9999187806095431
3,1,2,1,0.9983001339711616
3,1,3,1,0.9952196180319478
3,1,4,1,0.9985938259124091
3,1,5,1,0.9998096616882255
3,1,6,1,0.9999149544187904
3,1,7,1,0.9999144135081048
3,2,1,1,0.9996587279614495
3,2,2,1,0.7263092182279469
3,2,3,1,0.9990362205935934
3,2,4,1,0.9995647733229599
3,2,5,1,0.999507167841759
3,2,6,1,0.9990441990746496
3,2,7,1,0.9988266888402428
3,3,1,1,0.9994754706478693
3,3,2,1,0.9806083207921809
3,3,3,1,0.9989277348745991
3,3,4,1,0.9991069048450424
3,3,5,1,0.9989171216455428
3,3,6,1,0.9990794148172758
3,3,7,1,0.9990352935817152
3,4,1,1,0.9993472388501368
3,4,2,1,0.9975356495436243
3,4,3,1,0.9991125647191023
3,4,4,1,0.9981221097004539
3,4,5,1,0.9974090576228183
3,4,6,1,0.9970983611323673
3,4,7,1,0.9970584633372668
3,5,1,1,0.9992946409411202
3,5,2,1,0.9977133954194267
3,5,3,1,0.9992051440752098
3,5,4,1,0.9979539438604647
3,5,5,1,0.9970765536786109
3,5,6,1,0.996953010713848
3,5,7,1,0.9968522411985111
4,1,1,1,0.9999187725462542
4,1,2,1,0.9987891383015691
4,1,3,1,0.9952129951486347
4,1,4,1,0.9985866195594122
4,1,5,1,0.999809661461303
4,1,6,1,0.9999149481515232
4,1,7,1,0.9999144044015175
4,2,1,1,0.9995509578916751
4,2,2,1,0.7363977969494484
4,2,3,1,0.9989735493028681
4,2,4,1,0.9994728558839262
4,2,5,1,0.9993109408227362
4,2,6,1,0.9987578736782686
4,2,7,1,0.9985423656071625
4,3,1,1,0.9993576543555949
4,3,2,1,0.9830930753140569
4,3,3,1,0.9985742230596908
4,3,4,1,0.9989180441735289
4,3,5,1,0.9987907440239532
4,3,6,1,0.9988585581973551
4,3,7,1,0.9989371391746534
4,4,1,1,0.9993413906008217
4,4,2,1,0.9972276145672179
4,4,3,1,0.9991251085109122
4,4,4,1,0.9977099632065111
4,4,5,1,0.9974630012921044
4,4,6,1,0.996942166647417
4,4,7,1,0.996724373788594
4,5,1,1,0.9992830251678666
4,5,2,1,0.9974313963560694
4,5,3,1,0.9992146279125743
4,5,4,1,0.9978472848453879
4,5,5,1,0.9972839179004657
4,5,6,1,0.9967373187919564
4,5,7,1,0.9965851691679763
5,1,1,1,0.9999187806095431
5,1,2,1,0.9983001339711616
5,1,3,1,0.9952196180319478
5,1,4,1,0.9985938259124091
5,1,5,1,0.9998096616882255
5,1,6,1,0.9999149544187904
5,1,7,1,0.9999144135081048
5,2,1,1,0.9996587279614495
5,2,2,1,0.7263092182279469
5,2,3,1,0.9990362205935934
5,2,4,1,0.9995647733229599
5,2,5,1,0.999507167841759
5,2,6,1,0.9990441990746496
5,2,7,1,0.9988266888402428
5,3,1,1,0.9994754706478693
5,3,2,1,0.9806083207921809
5,3,3,1,0.9989277348745991
5,3,4,1,0.9991069048450424
5,3,5,1,0.9989171216455428
5,3,6,1,0.9990794148172758
5,3,7,1,0.9990352935817152
5,4,1,1,0.9993472388501368
5,4,2,1,0.9975356495436243
5,4,3,1,0.9991125647191023
5,4,4,1,0.9981221097004539
5,4,5,1,0.9974090576228183
5,4,6,1,0.9970983611323673
5,4,7,1,0.9970584633372668
5,5,1,1,0.9992946409411202
5,5,2,1,0.9977133954194267
5,5,3,1,0.9992051440752098
