missing_value,normalization,model,index_df1,index_df2,similarity
1,1,1,0,0,0.8411977956257392
1,2,1,1,1,0.9994380430186504
1,3,1,2,2,0.9989999762177693
1,4,1,3,3,0.8761677168759794
1,5,1,4,4,0.8739100905748789
2,1,1,5,5,0.8389035672874535
2,2,1,6,6,0.9996587279614495
2,3,1,7,7,0.9925444651459977
2,4,1,8,8,0.8779069783723278
2,5,1,9,9,0.8751823152629794
3,1,1,10,10,0.8389035672874535
3,2,1,11,11,0.9996587279614495
3,3,1,12,12,0.9925444651459977
3,4,1,13,13,0.8779069783723278
3,5,1,14,14,0.8751823152629794
4,1,1,15,15,0.8389007103011741
4,2,1,16,16,0.9995509578916751
4,3,1,17,17,0.9920481206166276
4,4,1,18,18,0.8777468799976802
4,5,1,19,19,0.8747514981491733
5,1,1,20,20,0.8389035672874535
5,2,1,21,21,0.9996587279614495
5,3,1,22,22,0.9925444651459977
5,4,1,23,23,0.8779069783723278
5,5,1,24,24,0.8751823152629794
6,1,1,25,25,0.8389035672874535
6,2,1,26,26,0.9996587279614495
6,3,1,27,27,0.9925444651459977
6,4,1,28,28,0.8779069783723278
6,5,1,29,29,0.8751823152629794
7,1,1,30,30,0.8389035672874535
7,2,1,31,31,0.9996587279614495
7,3,1,32,32,0.9925444651459977
7,4,1,33,33,0.8779069783723278
7,5,1,34,34,0.8751823152629794
8,1,1,35,35,0.8389035672874535
8,2,1,36,36,0.9996587279614495
8,3,1,37,37,0.9925444651459977
8,4,1,38,38,0.8779069783723278
8,5,1,39,39,0.8751823152629794
9,1,1,40,40,0.8389035672874535
9,2,1,41,41,0.9996587279614495
9,3,1,42,42,0.9925444651459977
9,4,1,43,43,0.8779069783723278
9,5,1,44,44,0.8751823152629794
