missing_value,normalization,model,index_df1,index_df2,similarity
1,1,1,0,0,0.9974935255674259
1,2,1,1,1,0.7757081762219398
1,3,1,2,2,0.2780754478555329
1,4,1,3,3,0.3217719569012154
1,5,1,4,4,0.3065535610203263
2,1,1,5,5,0.9974377970463872
2,2,1,6,6,0.7824908684535532
2,3,1,7,7,0.36003836293736513
2,4,1,8,8,0.3173891580237876
2,5,1,9,9,0.30180478148415446
3,1,1,10,10,0.9974377970463872
3,2,1,11,11,0.7824908684535532
3,3,1,12,12,0.36003836293736513
3,4,1,13,13,0.3173891580237876
3,5,1,14,14,0.30180478148415446
4,1,1,15,15,0.9974377169005373
4,2,1,16,16,0.7876279706643204
4,3,1,17,17,0.36659832178626595
4,4,1,18,18,0.3231803905640881
4,5,1,19,19,0.3081477525166234
5,1,1,20,20,0.9974377970463872
5,2,1,21,21,0.7824908684535532
5,3,1,22,22,0.36003836293736513
5,4,1,23,23,0.3173891580237876
5,5,1,24,24,0.30180478148415446
6,1,1,25,25,0.9974377970463872
6,2,1,26,26,0.7824908684535532
6,3,1,27,27,0.36003836293736513
6,4,1,28,28,0.3173891580237876
6,5,1,29,29,0.30180478148415446
7,1,1,30,30,0.9974377970463872
7,2,1,31,31,0.7824908684535532
7,3,1,32,32,0.36003836293736513
7,4,1,33,33,0.3173891580237876
7,5,1,34,34,0.30180478148415446
8,1,1,35,35,0.9974377970463872
8,2,1,36,36,0.7824908684535532
8,3,1,37,37,0.36003836293736513
8,4,1,38,38,0.3173891580237876
8,5,1,39,39,0.30180478148415446
9,1,1,40,40,0.9974377970463872
9,2,1,41,41,0.7824908684535532
9,3,1,42,42,0.36003836293736513
9,4,1,43,43,0.3173891580237876
9,5,1,44,44,0.30180478148415446
