2025-10-01 01:19:24,465 - INFO - pipeline[1. 1. 1.]
2025-10-01 01:19:24,465 - INFO - [GS2] Start. Target utility = 0.050000
2025-10-01 01:19:24,465 - INFO - [GS2] Building candidates from ('missing_value', 'normalization', 'model')
2025-10-01 01:19:24,466 - INFO - [GS2] candidates: 105
2025-10-01 01:19:24,466 - INFO - [GS2] Building andidates from ('missing_value', 'normalization', 'model', 'outlier', 'whitespace', 'punctuation', 'stopword', 'deduplication')
2025-10-01 01:28:35,673 - INFO - [GS2] candidates: 41005993
2025-10-01 01:30:03,206 - INFO - [GS2] Initial utility = 0.098252
2025-10-01 01:30:03,206 - DEBUG - [GS2] A | iter=1 | order=['missing_value', 'model'] | vec=[6, 1] | utility=0.098252
2025-10-01 01:30:03,705 - DEBUG - [GS2] A | iter=2 | order=['missing_value', 'normalization', 'model'] | vec=[9, 5, 1] | utility=0.191305
2025-10-01 01:30:04,407 - DEBUG - [GS2] A | iter=3 | order=['normalization', 'missing_value', 'model'] | vec=[5, 9, 1] | utility=0.191642
2025-10-01 01:30:04,815 - DEBUG - [GS2] A | iter=4 | order=['missing_value', 'normalization', 'model'] | vec=[1, 5, 1] | utility=0.205076
2025-10-01 01:30:05,480 - DEBUG - [GS2] A | iter=5 | order=['missing_value', 'normalization', 'model'] | vec=[5, 3, 1] | utility=0.174823
2025-10-01 01:30:05,775 - DEBUG - [GS2] A | iter=6 | order=['normalization', 'model'] | vec=[2, 1] | utility=0.199678
2025-10-01 01:30:06,189 - DEBUG - [GS2] A | iter=7 | order=['missing_value', 'normalization', 'model'] | vec=[8, 5, 1] | utility=0.202891
2025-10-01 01:30:06,813 - DEBUG - [GS2] A | iter=8 | order=['normalization', 'missing_value', 'model'] | vec=[5, 1, 1] | utility=0.193925
2025-10-01 01:30:07,269 - DEBUG - [GS2] A | iter=9 | order=['normalization', 'missing_value', 'model'] | vec=[4, 1, 1] | utility=0.194998
2025-10-01 01:30:08,251 - DEBUG - [GS2] A | iter=10 | order=['missing_value', 'normalization', 'model'] | vec=[3, 1, 1] | utility=0.129800
2025-10-01 01:30:09,297 - DEBUG - [GS2] A | iter=11 | order=['normalization', 'missing_value', 'model'] | vec=[3, 6, 1] | utility=0.172958
2025-10-01 01:30:09,732 - DEBUG - [GS2] A | iter=12 | order=['normalization', 'missing_value', 'model'] | vec=[4, 2, 1] | utility=0.192498
2025-10-01 01:30:10,221 - DEBUG - [GS2] A | iter=13 | order=['normalization', 'missing_value', 'model'] | vec=[4, 3, 1] | utility=0.194697
2025-10-01 01:30:11,131 - DEBUG - [GS2] A | iter=14 | order=['normalization', 'model'] | vec=[3, 1] | utility=0.176736
2025-10-01 01:30:11,577 - DEBUG - [GS2] A | iter=15 | order=['normalization', 'missing_value', 'model'] | vec=[4, 6, 1] | utility=0.192240
2025-10-01 01:30:11,915 - DEBUG - [GS2] A | iter=16 | order=['missing_value', 'model'] | vec=[9, 1] | utility=0.108450
2025-10-01 01:30:12,340 - DEBUG - [GS2] A | iter=17 | order=['missing_value', 'normalization', 'model'] | vec=[2, 5, 1] | utility=0.193006
2025-10-01 01:30:13,085 - DEBUG - [GS2] A | iter=18 | order=['missing_value', 'normalization', 'model'] | vec=[5, 1, 1] | utility=0.114834
2025-10-01 01:30:13,716 - DEBUG - [GS2] A | iter=19 | order=['missing_value', 'normalization', 'model'] | vec=[9, 1, 1] | utility=0.115335
2025-10-01 01:30:13,999 - DEBUG - [GS2] A | iter=20 | order=['missing_value', 'normalization', 'model'] | vec=[1, 2, 1] | utility=0.201837
2025-10-01 01:30:14,719 - DEBUG - [GS2] A | iter=21 | order=['normalization', 'missing_value', 'model'] | vec=[4, 4, 1] | utility=0.200324
2025-10-01 01:30:15,157 - DEBUG - [GS2] A | iter=22 | order=['missing_value', 'normalization', 'model'] | vec=[5, 4, 1] | utility=0.202594
2025-10-01 01:30:15,525 - DEBUG - [GS2] A | iter=23 | order=['missing_value', 'normalization', 'model'] | vec=[9, 2, 1] | utility=0.196325
2025-10-01 01:30:15,914 - DEBUG - [GS2] A | iter=24 | order=['normalization', 'missing_value', 'model'] | vec=[2, 1, 1] | utility=0.189445
2025-10-01 01:30:16,327 - DEBUG - [GS2] A | iter=25 | order=['missing_value', 'normalization', 'model'] | vec=[8, 2, 1] | utility=0.192796
2025-10-01 01:30:16,665 - DEBUG - [GS2] A | iter=26 | order=['missing_value', 'normalization', 'model'] | vec=[4, 2, 1] | utility=0.190915
2025-10-01 01:30:17,512 - DEBUG - [GS2] A | iter=27 | order=['normalization', 'missing_value', 'model'] | vec=[3, 7, 1] | utility=0.172037
2025-10-01 01:30:18,048 - DEBUG - [GS2] A | iter=28 | order=['missing_value', 'normalization', 'model'] | vec=[1, 4, 1] | utility=0.204799
2025-10-01 01:30:18,951 - DEBUG - [GS2] A | iter=29 | order=['normalization', 'missing_value', 'model'] | vec=[3, 8, 1] | utility=0.165903
2025-10-01 01:30:19,463 - DEBUG - [GS2] A | iter=30 | order=['normalization', 'missing_value', 'model'] | vec=[5, 8, 1] | utility=0.203100
2025-10-01 01:30:20,175 - DEBUG - [GS2] A | iter=31 | order=['missing_value', 'model'] | vec=[7, 1] | utility=0.098794
2025-10-01 01:30:20,549 - DEBUG - [GS2] A | iter=32 | order=['normalization', 'missing_value', 'model'] | vec=[2, 7, 1] | utility=0.196402
2025-10-01 01:30:21,350 - DEBUG - [GS2] A | iter=33 | order=['missing_value', 'normalization', 'model'] | vec=[7, 1, 1] | utility=0.109138
2025-10-01 01:30:21,713 - DEBUG - [GS2] A | iter=34 | order=['normalization', 'missing_value', 'model'] | vec=[2, 6, 1] | utility=0.190494
2025-10-01 01:30:22,624 - DEBUG - [GS2] A | iter=35 | order=['normalization', 'missing_value', 'model'] | vec=[3, 3, 1] | utility=0.179716
2025-10-01 01:30:23,179 - DEBUG - [GS2] A | iter=36 | order=['missing_value', 'model'] | vec=[8, 1] | utility=0.116506
2025-10-01 01:30:24,121 - DEBUG - [GS2] A | iter=37 | order=['missing_value', 'normalization', 'model'] | vec=[1, 1, 1] | utility=0.099491
2025-10-01 01:30:24,499 - DEBUG - [GS2] A | iter=38 | order=['missing_value', 'normalization', 'model'] | vec=[5, 2, 1] | utility=0.197787
2025-10-01 01:30:25,048 - DEBUG - [GS2] A | iter=39 | order=['normalization', 'missing_value', 'model'] | vec=[4, 5, 1] | utility=0.197102
2025-10-01 01:30:25,619 - DEBUG - [GS2] A | iter=40 | order=['normalization', 'model'] | vec=[4, 1] | utility=0.200206
2025-10-01 01:30:26,165 - DEBUG - [GS2] A | iter=41 | order=['missing_value', 'normalization', 'model'] | vec=[3, 5, 1] | utility=0.193416
