2025-10-02 19:33:42,696 - INFO - pipeline[1. 1. 1.]
2025-10-02 19:33:42,696 - INFO - [GS2] Start. Target utility = 0.080000
2025-10-02 19:33:42,696 - INFO - [GS2] Building candidates from ('missing_value', 'normalization', 'model')
2025-10-02 19:33:42,696 - INFO - [GS2] candidates: 105
2025-10-02 19:33:42,696 - INFO - [GS2] Building andidates from ('missing_value', 'normalization', 'model', 'outlier', 'whitespace', 'punctuation', 'stopword', 'deduplication')
2025-10-02 19:57:29,426 - INFO - [GS2] candidates: 41005993
2025-10-02 20:04:02,668 - INFO - [GS2] Initial utility = 0.099836
2025-10-02 20:04:02,669 - DEBUG - [GS2] A | iter=1 | order=['normalization', 'model'] | vec=[2, 1] | utility=0.099836
2025-10-02 20:04:02,731 - DEBUG - [GS2] A | iter=2 | order=['missing_value', 'normalization', 'model'] | vec=[2, 2, 1] | utility=0.096423
2025-10-02 20:04:02,737 - DEBUG - [GS2] A | iter=3 | order=['missing_value', 'model'] | vec=[2, 1] | utility=0.094868
2025-10-02 20:04:02,749 - DEBUG - [GS2] A | iter=4 | order=['missing_value', 'model'] | vec=[8, 1] | utility=0.094868
2025-10-02 20:04:02,755 - DEBUG - [GS2] A | iter=5 | order=['missing_value', 'model'] | vec=[4, 1] | utility=0.094868
2025-10-02 20:04:02,814 - DEBUG - [GS2] A | iter=6 | order=['normalization', 'missing_value', 'model'] | vec=[1, 9, 1] | utility=0.094868
2025-10-02 20:04:02,874 - DEBUG - [GS2] A | iter=7 | order=['normalization', 'model'] | vec=[3, 1] | utility=0.098200
2025-10-02 20:04:02,929 - DEBUG - [GS2] A | iter=8 | order=['missing_value', 'normalization', 'model'] | vec=[2, 3, 1] | utility=0.094868
2025-10-02 20:04:02,990 - DEBUG - [GS2] A | iter=9 | order=['normalization', 'missing_value', 'model'] | vec=[3, 6, 1] | utility=0.094868
2025-10-02 20:04:03,049 - DEBUG - [GS2] A | iter=10 | order=['missing_value', 'normalization', 'model'] | vec=[6, 5, 1] | utility=0.094868
2025-10-02 20:04:03,107 - DEBUG - [GS2] A | iter=11 | order=['missing_value', 'normalization', 'model'] | vec=[7, 1, 1] | utility=0.094868
2025-10-02 20:04:03,165 - DEBUG - [GS2] A | iter=12 | order=['normalization', 'missing_value', 'model'] | vec=[4, 2, 1] | utility=0.094868
2025-10-02 20:04:03,223 - DEBUG - [GS2] A | iter=13 | order=['missing_value', 'normalization', 'model'] | vec=[4, 3, 1] | utility=0.094868
2025-10-02 20:04:03,279 - DEBUG - [GS2] A | iter=14 | order=['missing_value', 'normalization', 'model'] | vec=[3, 3, 1] | utility=0.094868
2025-10-02 20:04:03,340 - DEBUG - [GS2] A | iter=15 | order=['missing_value', 'normalization', 'model'] | vec=[9, 5, 1] | utility=0.094868
2025-10-02 20:04:03,396 - DEBUG - [GS2] A | iter=16 | order=['normalization', 'missing_value', 'model'] | vec=[1, 4, 1] | utility=0.094868
2025-10-02 20:04:03,451 - DEBUG - [GS2] A | iter=17 | order=['normalization', 'missing_value', 'model'] | vec=[5, 6, 1] | utility=0.094868
2025-10-02 20:04:03,511 - DEBUG - [GS2] A | iter=18 | order=['normalization', 'missing_value', 'model'] | vec=[4, 8, 1] | utility=0.094868
2025-10-02 20:04:03,566 - DEBUG - [GS2] A | iter=19 | order=['normalization', 'model'] | vec=[1, 1] | utility=0.098200
2025-10-02 20:04:03,623 - DEBUG - [GS2] A | iter=20 | order=['missing_value', 'normalization', 'model'] | vec=[3, 2, 1] | utility=0.096423
2025-10-02 20:04:03,685 - DEBUG - [GS2] A | iter=21 | order=['missing_value', 'normalization', 'model'] | vec=[5, 3, 1] | utility=0.094868
2025-10-02 20:04:03,748 - DEBUG - [GS2] A | iter=22 | order=['normalization', 'missing_value', 'model'] | vec=[4, 3, 1] | utility=0.094868
2025-10-02 20:04:03,807 - DEBUG - [GS2] A | iter=23 | order=['missing_value', 'normalization', 'model'] | vec=[5, 2, 1] | utility=0.096423
2025-10-02 20:04:03,866 - DEBUG - [GS2] A | iter=24 | order=['normalization', 'missing_value', 'model'] | vec=[4, 5, 1] | utility=0.094868
2025-10-02 20:04:03,922 - DEBUG - [GS2] A | iter=25 | order=['missing_value', 'normalization', 'model'] | vec=[7, 4, 1] | utility=0.094868
2025-10-02 20:04:03,977 - DEBUG - [GS2] A | iter=26 | order=['missing_value', 'normalization', 'model'] | vec=[1, 2, 1] | utility=0.099836
2025-10-02 20:04:04,035 - DEBUG - [GS2] A | iter=27 | order=['missing_value', 'normalization', 'model'] | vec=[5, 5, 1] | utility=0.094868
2025-10-02 20:04:04,091 - DEBUG - [GS2] A | iter=28 | order=['normalization', 'model'] | vec=[5, 1] | utility=0.098200
2025-10-02 20:04:04,147 - DEBUG - [GS2] A | iter=29 | order=['normalization', 'missing_value', 'model'] | vec=[2, 7, 1] | utility=0.096423
2025-10-02 20:04:04,205 - DEBUG - [GS2] A | iter=30 | order=['normalization', 'missing_value', 'model'] | vec=[3, 9, 1] | utility=0.094868
2025-10-02 20:04:04,261 - DEBUG - [GS2] A | iter=31 | order=['normalization', 'missing_value', 'model'] | vec=[5, 5, 1] | utility=0.094868
2025-10-02 20:04:04,267 - DEBUG - [GS2] A | iter=32 | order=['missing_value', 'model'] | vec=[5, 1] | utility=0.094868
2025-10-02 20:04:04,325 - DEBUG - [GS2] A | iter=33 | order=['missing_value', 'normalization', 'model'] | vec=[8, 3, 1] | utility=0.094868
2025-10-02 20:04:04,383 - DEBUG - [GS2] A | iter=34 | order=['missing_value', 'normalization', 'model'] | vec=[8, 4, 1] | utility=0.094868
2025-10-02 20:04:04,439 - DEBUG - [GS2] A | iter=35 | order=['missing_value', 'normalization', 'model'] | vec=[8, 2, 1] | utility=0.096423
2025-10-02 20:04:04,497 - DEBUG - [GS2] A | iter=36 | order=['normalization', 'missing_value', 'model'] | vec=[3, 1, 1] | utility=0.098200
2025-10-02 20:04:04,504 - DEBUG - [GS2] A | iter=37 | order=['missing_value', 'model'] | vec=[6, 1] | utility=0.094868
2025-10-02 20:04:04,561 - DEBUG - [GS2] A | iter=38 | order=['normalization', 'missing_value', 'model'] | vec=[1, 2, 1] | utility=0.094868
2025-10-02 20:04:04,616 - DEBUG - [GS2] A | iter=39 | order=['missing_value', 'normalization', 'model'] | vec=[3, 5, 1] | utility=0.094868
2025-10-02 20:04:04,674 - DEBUG - [GS2] A | iter=40 | order=['normalization', 'missing_value', 'model'] | vec=[5, 8, 1] | utility=0.094868
2025-10-02 20:04:04,682 - DEBUG - [GS2] A | iter=41 | order=['missing_value', 'model'] | vec=[7, 1] | utility=0.094868
2025-10-02 20:04:04,738 - DEBUG - [GS2] A | iter=42 | order=['normalization', 'missing_value', 'model'] | vec=[4, 1, 1] | utility=0.098200
2025-10-02 20:04:04,796 - DEBUG - [GS2] A | iter=43 | order=['missing_value', 'normalization', 'model'] | vec=[7, 3, 1] | utility=0.094868
2025-10-02 20:04:04,800 - DEBUG - [GS2] A | iter=44 | order=['missing_value', 'model'] | vec=[1, 1] | utility=0.098200
2025-10-02 20:04:04,805 - DEBUG - [GS2] A | iter=45 | order=['model'] | vec=[1] | utility=0.098200
2025-10-02 20:04:04,862 - DEBUG - [GS2] A | iter=46 | order=['normalization', 'missing_value', 'model'] | vec=[4, 6, 1] | utility=0.094868
2025-10-02 20:04:04,917 - DEBUG - [GS2] A | iter=47 | order=['normalization', 'missing_value', 'model'] | vec=[2, 2, 1] | utility=0.096423
2025-10-02 20:04:04,974 - DEBUG - [GS2] A | iter=48 | order=['normalization', 'missing_value', 'model'] | vec=[1, 3, 1] | utility=0.094868
2025-10-02 20:04:05,033 - DEBUG - [GS2] A | iter=49 | order=['normalization', 'missing_value', 'model'] | vec=[1, 8, 1] | utility=0.094868
2025-10-02 20:04:05,090 - DEBUG - [GS2] A | iter=50 | order=['normalization', 'missing_value', 'model'] | vec=[4, 9, 1] | utility=0.094868
2025-10-02 20:04:05,144 - DEBUG - [GS2] A | iter=51 | order=['missing_value', 'normalization', 'model'] | vec=[1, 1, 1] | utility=0.098200
2025-10-02 20:04:05,203 - DEBUG - [GS2] A | iter=52 | order=['normalization', 'missing_value', 'model'] | vec=[5, 3, 1] | utility=0.094868
2025-10-02 20:04:05,260 - DEBUG - [GS2] A | iter=53 | order=['missing_value', 'normalization', 'model'] | vec=[9, 4, 1] | utility=0.094868
2025-10-02 20:04:05,317 - DEBUG - [GS2] A | iter=54 | order=['missing_value', 'normalization', 'model'] | vec=[3, 1, 1] | utility=0.094868
