2025-10-02 08:28:55,340 - INFO - pipeline[1. 1. 1.]
2025-10-02 08:28:55,341 - INFO - [GS2] Start. Target utility = 162.000000
2025-10-02 08:28:55,341 - INFO - [GS2] Building candidates from ('missing_value', 'normalization', 'model')
2025-10-02 08:28:55,341 - INFO - [GS2] candidates: 105
2025-10-02 08:28:55,341 - INFO - [GS2] Building andidates from ('missing_value', 'normalization', 'model', 'outlier', 'whitespace', 'punctuation', 'stopword', 'deduplication')
2025-10-02 09:02:40,605 - INFO - [GS2] candidates: 41005993
2025-10-02 09:08:42,617 - INFO - [GS2] Initial utility = 186.977810
2025-10-02 09:08:42,617 - DEBUG - [GS2] A | iter=1 | order=['normalization', 'missing_value', 'model'] | vec=[1, 7, 1] | utility=186.977810
2025-10-02 09:08:43,126 - DEBUG - [GS2] A | iter=2 | order=['missing_value', 'normalization', 'model'] | vec=[5, 3, 1] | utility=186.982021
2025-10-02 09:08:43,406 - DEBUG - [GS2] A | iter=3 | order=['missing_value', 'normalization', 'model'] | vec=[8, 4, 1] | utility=187.067814
2025-10-02 09:08:43,789 - DEBUG - [GS2] A | iter=4 | order=['missing_value', 'normalization', 'model'] | vec=[6, 2, 1] | utility=186.966237
2025-10-02 09:08:44,059 - DEBUG - [GS2] A | iter=5 | order=['missing_value', 'normalization', 'model'] | vec=[4, 3, 1] | utility=187.443807
2025-10-02 09:08:44,369 - DEBUG - [GS2] A | iter=6 | order=['missing_value', 'normalization', 'model'] | vec=[2, 1, 1] | utility=187.110868
2025-10-02 09:08:44,639 - DEBUG - [GS2] A | iter=7 | order=['normalization', 'missing_value', 'model'] | vec=[5, 2, 1] | utility=187.110868
2025-10-02 09:08:45,419 - DEBUG - [GS2] A | iter=8 | order=['missing_value', 'normalization', 'model'] | vec=[7, 2, 1] | utility=186.977810
2025-10-02 09:08:45,767 - DEBUG - [GS2] A | iter=9 | order=['missing_value', 'normalization', 'model'] | vec=[7, 4, 1] | utility=186.977810
2025-10-02 09:08:46,025 - DEBUG - [GS2] A | iter=10 | order=['normalization', 'missing_value', 'model'] | vec=[2, 2, 1] | utility=187.110868
2025-10-02 09:08:46,456 - DEBUG - [GS2] A | iter=11 | order=['missing_value', 'normalization', 'model'] | vec=[5, 2, 1] | utility=186.982021
2025-10-02 09:08:46,505 - DEBUG - [GS2] A | iter=12 | order=['missing_value', 'model'] | vec=[2, 1] | utility=187.110868
2025-10-02 09:08:46,696 - DEBUG - [GS2] A | iter=13 | order=['normalization', 'missing_value', 'model'] | vec=[4, 4, 1] | utility=187.443807
2025-10-02 09:08:46,935 - DEBUG - [GS2] A | iter=14 | order=['normalization', 'missing_value', 'model'] | vec=[1, 4, 1] | utility=187.443807
2025-10-02 09:08:47,431 - DEBUG - [GS2] A | iter=15 | order=['normalization', 'missing_value', 'model'] | vec=[2, 9, 1] | utility=186.791564
2025-10-02 09:08:47,559 - DEBUG - [GS2] A | iter=16 | order=['missing_value', 'model'] | vec=[8, 1] | utility=187.067814
2025-10-02 09:08:47,688 - DEBUG - [GS2] A | iter=17 | order=['normalization', 'missing_value', 'model'] | vec=[1, 2, 1] | utility=187.110868
2025-10-02 09:08:47,795 - DEBUG - [GS2] A | iter=18 | order=['missing_value', 'normalization', 'model'] | vec=[1, 3, 1] | utility=189.323861
2025-10-02 09:08:47,922 - DEBUG - [GS2] A | iter=19 | order=['missing_value', 'normalization', 'model'] | vec=[3, 5, 1] | utility=187.097480
2025-10-02 09:08:48,166 - DEBUG - [GS2] A | iter=20 | order=['normalization', 'model'] | vec=[5, 1] | utility=189.323861
2025-10-02 09:08:48,252 - DEBUG - [GS2] A | iter=21 | order=['missing_value', 'normalization', 'model'] | vec=[1, 4, 1] | utility=189.323861
2025-10-02 09:08:48,478 - DEBUG - [GS2] A | iter=22 | order=['missing_value', 'normalization', 'model'] | vec=[7, 5, 1] | utility=186.977810
2025-10-02 09:08:48,663 - DEBUG - [GS2] A | iter=23 | order=['missing_value', 'normalization', 'model'] | vec=[4, 5, 1] | utility=187.443807
2025-10-02 09:08:49,050 - DEBUG - [GS2] A | iter=24 | order=['missing_value', 'normalization', 'model'] | vec=[1, 5, 1] | utility=189.323861
2025-10-02 09:08:49,515 - DEBUG - [GS2] A | iter=25 | order=['normalization', 'missing_value', 'model'] | vec=[5, 8, 1] | utility=186.747292
2025-10-02 09:08:49,759 - DEBUG - [GS2] A | iter=26 | order=['missing_value', 'normalization', 'model'] | vec=[1, 1, 1] | utility=189.323861
2025-10-02 09:08:49,903 - DEBUG - [GS2] A | iter=27 | order=['missing_value', 'model'] | vec=[6, 1] | utility=186.966237
2025-10-02 09:08:50,235 - DEBUG - [GS2] A | iter=28 | order=['normalization', 'missing_value', 'model'] | vec=[1, 8, 1] | utility=187.067814
2025-10-02 09:08:50,526 - DEBUG - [GS2] A | iter=29 | order=['missing_value', 'normalization', 'model'] | vec=[9, 5, 1] | utility=187.100250
2025-10-02 09:08:50,948 - DEBUG - [GS2] A | iter=30 | order=['normalization', 'missing_value', 'model'] | vec=[5, 7, 1] | utility=186.781522
2025-10-02 09:08:51,314 - DEBUG - [GS2] A | iter=31 | order=['normalization', 'missing_value', 'model'] | vec=[1, 9, 1] | utility=187.100250
