2025-10-12 11:05:43,879 - INFO - [GridSearch] Start (random). Target utility = 156.00
2025-10-12 11:05:44,427 - DEBUG - [GridSearch] iter=1 | order=['normalization', 'missing_value', 'punctuation', 'outlier', 'whitespace', 'stopword', 'deduplication', 'model'] | vec=[3, 8, 2, 5, 1, 2, 2, 1] | utility=271.76
2025-10-12 11:05:44,437 - DEBUG - [GridSearch] iter=2 | order=['model'] | vec=[1] | utility=188.80
2025-10-12 11:05:44,535 - DEBUG - [GridSearch] iter=3 | order=['punctuation', 'normalization', 'whitespace', 'deduplication', 'model'] | vec=[1, 5, 2, 2, 1] | utility=282.48
2025-10-12 11:05:44,640 - DEBUG - [GridSearch] iter=4 | order=['punctuation', 'whitespace', 'stopword', 'outlier', 'model'] | vec=[1, 2, 2, 7, 1] | utility=166.35
2025-10-12 11:05:44,740 - DEBUG - [GridSearch] iter=5 | order=['whitespace', 'punctuation', 'normalization', 'stopword', 'missing_value', 'deduplication', 'model'] | vec=[2, 2, 3, 2, 3, 1, 1] | utility=188.80
2025-10-12 11:05:44,899 - DEBUG - [GridSearch] iter=6 | order=['outlier', 'deduplication', 'normalization', 'whitespace', 'model'] | vec=[7, 2, 3, 1, 1] | utility=262.95
2025-10-12 11:05:44,906 - DEBUG - [GridSearch] iter=7 | order=['stopword', 'model'] | vec=[2, 1] | utility=188.80
2025-10-12 11:05:44,990 - DEBUG - [GridSearch] iter=8 | order=['outlier', 'missing_value', 'whitespace', 'punctuation', 'stopword', 'model'] | vec=[1, 7, 2, 1, 1, 1] | utility=188.80
2025-10-12 11:05:45,002 - DEBUG - [GridSearch] iter=9 | order=['whitespace', 'deduplication', 'model'] | vec=[1, 1, 1] | utility=188.80
2025-10-12 11:05:45,185 - DEBUG - [GridSearch] iter=10 | order=['stopword', 'normalization', 'whitespace', 'outlier', 'deduplication', 'model'] | vec=[2, 1, 2, 7, 1, 1] | utility=166.35
2025-10-12 11:05:45,331 - DEBUG - [GridSearch] iter=11 | order=['whitespace', 'outlier', 'normalization', 'stopword', 'missing_value', 'model'] | vec=[1, 8, 2, 1, 3, 1] | utility=164.64
2025-10-12 11:05:45,440 - DEBUG - [GridSearch] iter=12 | order=['normalization', 'stopword', 'outlier', 'punctuation', 'missing_value', 'model'] | vec=[4, 2, 8, 2, 5, 1] | utility=191.54
2025-10-12 11:05:45,551 - DEBUG - [GridSearch] iter=13 | order=['missing_value', 'whitespace', 'normalization', 'stopword', 'deduplication', 'outlier', 'punctuation', 'model'] | vec=[3, 1, 2, 1, 1, 5, 2, 1] | utility=177.61
2025-10-12 11:05:45,605 - DEBUG - [GridSearch] iter=14 | order=['normalization', 'punctuation', 'whitespace', 'model'] | vec=[3, 2, 1, 1] | utility=188.80
2025-10-12 11:05:45,793 - DEBUG - [GridSearch] iter=15 | order=['normalization', 'whitespace', 'missing_value', 'outlier', 'stopword', 'model'] | vec=[1, 2, 1, 7, 1, 1] | utility=166.35
2025-10-12 11:05:45,807 - DEBUG - [GridSearch] iter=16 | order=['punctuation', 'model'] | vec=[1, 1] | utility=188.80
2025-10-12 11:05:46,028 - DEBUG - [GridSearch] iter=17 | order=['punctuation', 'missing_value', 'deduplication', 'stopword', 'whitespace', 'normalization', 'outlier', 'model'] | vec=[1, 8, 1, 1, 2, 2, 6, 1] | utility=171.08
2025-10-12 11:05:46,036 - DEBUG - [GridSearch] iter=18 | order=['deduplication', 'model'] | vec=[1, 1] | utility=188.80
2025-10-12 11:05:46,221 - DEBUG - [GridSearch] iter=19 | order=['stopword', 'deduplication', 'outlier', 'normalization', 'punctuation', 'model'] | vec=[1, 1, 8, 1, 2, 1] | utility=164.64
2025-10-12 11:05:46,313 - DEBUG - [GridSearch] iter=20 | order=['punctuation', 'stopword', 'normalization', 'model'] | vec=[1, 1, 1, 1] | utility=188.80
2025-10-12 11:05:46,405 - DEBUG - [GridSearch] iter=21 | order=['punctuation', 'missing_value', 'deduplication', 'normalization', 'model'] | vec=[1, 3, 1, 2, 1] | utility=188.80
2025-10-12 11:05:46,587 - DEBUG - [GridSearch] iter=22 | order=['outlier', 'whitespace', 'stopword', 'missing_value', 'normalization', 'deduplication', 'punctuation', 'model'] | vec=[6, 1, 2, 7, 3, 2, 1, 1] | utility=263.51
2025-10-12 11:05:46,670 - DEBUG - [GridSearch] iter=23 | order=['stopword', 'whitespace', 'outlier', 'model'] | vec=[2, 1, 1, 1] | utility=188.80
2025-10-12 11:05:46,764 - DEBUG - [GridSearch] iter=24 | order=['normalization', 'whitespace', 'deduplication', 'punctuation', 'model'] | vec=[4, 1, 2, 1, 1] | utility=282.48
2025-10-12 11:05:46,868 - DEBUG - [GridSearch] iter=25 | order=['deduplication', 'outlier', 'punctuation', 'stopword', 'model'] | vec=[2, 8, 1, 2, 1] | utility=279.05
2025-10-12 11:05:46,888 - DEBUG - [GridSearch] iter=26 | order=['stopword', 'punctuation', 'whitespace', 'missing_value', 'model'] | vec=[1, 1, 2, 4, 1] | utility=188.80
2025-10-12 11:05:47,065 - DEBUG - [GridSearch] iter=27 | order=['outlier', 'normalization', 'whitespace', 'punctuation', 'model'] | vec=[7, 3, 1, 1, 1] | utility=166.35
2025-10-12 11:05:47,240 - DEBUG - [GridSearch] iter=28 | order=['punctuation', 'missing_value', 'normalization', 'outlier', 'stopword', 'whitespace', 'model'] | vec=[2, 1, 5, 2, 2, 1, 1] | utility=155.51
2025-10-12 11:05:47,240 - INFO - [GridSearch] Start (random). Target utility = 156.00
2025-10-12 11:05:47,301 - DEBUG - [GridSearch] iter=1 | order=['punctuation', 'whitespace', 'missing_value', 'outlier', 'stopword', 'model'] | vec=[2, 2, 6, 8, 1, 1] | utility=164.64
2025-10-12 11:05:47,407 - DEBUG - [GridSearch] iter=2 | order=['missing_value', 'outlier', 'normalization', 'deduplication', 'whitespace', 'model'] | vec=[1, 7, 3, 2, 2, 1] | utility=262.95
2025-10-12 11:05:47,510 - DEBUG - [GridSearch] iter=3 | order=['stopword', 'whitespace', 'deduplication', 'normalization', 'outlier', 'model'] | vec=[2, 2, 1, 4, 4, 1] | utility=189.63
2025-10-12 11:05:47,640 - DEBUG - [GridSearch] iter=4 | order=['whitespace', 'stopword', 'punctuation', 'deduplication', 'normalization', 'outlier', 'missing_value', 'model'] | vec=[2, 1, 1, 2, 2, 2, 2, 1] | utility=273.53
2025-10-12 11:05:47,647 - DEBUG - [GridSearch] iter=5 | order=['whitespace', 'model'] | vec=[2, 1] | utility=188.80
2025-10-12 11:05:47,849 - DEBUG - [GridSearch] iter=6 | order=['whitespace', 'deduplication', 'punctuation', 'stopword', 'outlier', 'normalization', 'model'] | vec=[1, 1, 2, 2, 4, 1, 1] | utility=183.19
2025-10-12 11:05:47,983 - DEBUG - [GridSearch] iter=7 | order=['punctuation', 'stopword', 'whitespace', 'outlier', 'normalization', 'missing_value', 'model'] | vec=[2, 2, 1, 4, 5, 8, 1] | utility=183.19
2025-10-12 11:05:48,036 - DEBUG - [GridSearch] iter=8 | order=['missing_value', 'punctuation', 'normalization', 'model'] | vec=[1, 1, 1, 1] | utility=188.80
2025-10-12 11:05:48,137 - DEBUG - [GridSearch] iter=9 | order=['missing_value', 'stopword', 'normalization', 'model'] | vec=[4, 1, 4, 1] | utility=188.80
2025-10-12 11:05:48,149 - DEBUG - [GridSearch] iter=10 | order=['deduplication', 'model'] | vec=[1, 1] | utility=188.80
