Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,2.0
0.95,ranking,iterations q2,3.0
0.95,ranking,iterations q3,5.0
0.95,ranking,iterations q4,11.0
0.95,ranking,Fairness q1,-0.00022
0.95,ranking,Fairness q2,0.0
0.95,ranking,Fairness q3,0.03832
0.95,ranking,Fairness q4,0.04877
Utility Goal,Method,Iteration,Value
0.94,ranking,iterations q1,2.0
0.94,ranking,iterations q2,2.0
0.94,ranking,iterations q3,3.0
0.94,ranking,iterations q4,6.0
0.94,ranking,Fairness q1,-0.0
0.94,ranking,Fairness q2,0.04421
0.94,ranking,Fairness q3,0.05175
0.94,ranking,Fairness q4,0.05956
Utility Goal,Method,Iteration,Value
0.87,ranking,iterations q1,1.0
0.87,ranking,iterations q2,1.0
0.87,ranking,iterations q3,1.0
0.87,ranking,iterations q4,3.0
0.87,ranking,Fairness q1,0.09382
0.87,ranking,Fairness q2,0.10646
0.87,ranking,Fairness q3,0.11822
0.87,ranking,Fairness q4,0.1298
Utility Goal,Method,Iteration,Value
0.84,ranking,iterations q1,1.0
0.84,ranking,iterations q2,1.0
0.84,ranking,iterations q3,1.0
0.84,ranking,iterations q4,1.0
0.84,ranking,Fairness q1,0.09425
0.84,ranking,Fairness q2,0.11654
0.84,ranking,Fairness q3,0.12317
0.84,ranking,Fairness q4,0.14073
