Utility Goal,Method,Iteration,Value
1.0,ranking,iterations q1,1.0
1.0,ranking,iterations q2,1.0
1.0,ranking,iterations q3,1.0
1.0,ranking,iterations q4,11.0
1.0,ranking,Fairness q1,157.4434
1.0,ranking,Fairness q2,157.76988
1.0,ranking,Fairness q3,158.36926
1.0,ranking,Fairness q4,161.73763
Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,1.0
0.95,ranking,iterations q2,1.0
0.95,ranking,iterations q3,1.0
0.95,ranking,iterations q4,1.0
0.95,ranking,Fairness q1,157.4434
0.95,ranking,Fairness q2,157.76988
0.95,ranking,Fairness q3,158.36926
0.95,ranking,Fairness q4,164.87236
Utility Goal,Method,Iteration,Value
0.89,ranking,iterations q1,1.0
0.89,ranking,iterations q2,1.0
0.89,ranking,iterations q3,1.0
0.89,ranking,iterations q4,1.0
0.89,ranking,Fairness q1,157.4434
0.89,ranking,Fairness q2,157.76988
0.89,ranking,Fairness q3,158.36926
0.89,ranking,Fairness q4,164.87236
Utility Goal,Method,Iteration,Value
0.86,ranking,iterations q1,1.0
0.86,ranking,iterations q2,1.0
0.86,ranking,iterations q3,1.0
0.86,ranking,iterations q4,1.0
0.86,ranking,Fairness q1,157.4434
0.86,ranking,Fairness q2,157.76988
0.86,ranking,Fairness q3,158.36926
0.86,ranking,Fairness q4,164.87236
