Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,2.0
0.95,ranking,iterations q2,3.0
0.95,ranking,iterations q3,4.0
0.95,ranking,iterations q4,16.0
0.95,ranking,Fairness q1,-5e-05
0.95,ranking,Fairness q2,0.00015
0.95,ranking,Fairness q3,0.04319
0.95,ranking,Fairness q4,0.05109

Utility Goal,Method,Iteration,Value
0.94,ranking,iterations q1,2.0
0.94,ranking,iterations q2,2.0
0.94,ranking,iterations q3,2.0
0.94,ranking,iterations q4,3.0
0.94,ranking,Fairness q1,-0.00014
0.94,ranking,Fairness q2,0.04178
0.94,ranking,Fairness q3,0.04744
0.94,ranking,Fairness q4,0.05999

Utility Goal,Method,Iteration,Value
0.87,ranking,iterations q1,1.0
0.87,ranking,iterations q2,1.0
0.87,ranking,iterations q3,1.0
0.87,ranking,iterations q4,3.0
0.87,ranking,Fairness q1,0.08886
0.87,ranking,Fairness q2,0.10367
0.87,ranking,Fairness q3,0.11678
0.87,ranking,Fairness q4,0.1262

Utility Goal,Method,Iteration,Value
0.84,ranking,iterations q1,1.0
0.84,ranking,iterations q2,1.0
0.84,ranking,iterations q3,1.0
0.84,ranking,iterations q4,1.0
0.84,ranking,Fairness q1,0.09045
0.84,ranking,Fairness q2,0.1066
0.84,ranking,Fairness q3,0.11729
0.84,ranking,Fairness q4,0.1531

