Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,10.0
0.95,ranking,iterations q2,28.0
0.95,ranking,iterations q3,28.0
0.95,ranking,iterations q4,29.0
0.95,ranking,Fairness q1,5e-05
0.95,ranking,Fairness q2,0.04082
0.95,ranking,Fairness q3,0.0463
0.95,ranking,Fairness q4,0.04911

0.95,grid search,iterations q1,47.0
0.95,grid search,iterations q2,47.0
0.95,grid search,iterations q3,47.0
0.95,grid search,iterations q4,47.0
0.95,grid search,Fairness q1,0.00032
0.95,grid search,Fairness q2,0.00032
0.95,grid search,Fairness q3,0.00032
0.95,grid search,Fairness q4,0.00032

Utility Goal,Method,Iteration,Value
0.94,ranking,iterations q1,4.0
0.94,ranking,iterations q2,8.0
0.94,ranking,iterations q3,18.0
0.94,ranking,iterations q4,29.0
0.94,ranking,Fairness q1,0.05463
0.94,ranking,Fairness q2,0.0574
0.94,ranking,Fairness q3,0.05913
0.94,ranking,Fairness q4,0.05994

0.94,grid search,iterations q1,47.0
0.94,grid search,iterations q2,47.0
0.94,grid search,iterations q3,47.0
0.94,grid search,iterations q4,47.0
0.94,grid search,Fairness q1,0.00011
0.94,grid search,Fairness q2,0.00011
0.94,grid search,Fairness q3,0.00011
0.94,grid search,Fairness q4,0.00011

Utility Goal,Method,Iteration,Value
0.87,ranking,iterations q1,1.0
0.87,ranking,iterations q2,1.0
0.87,ranking,iterations q3,1.0
0.87,ranking,iterations q4,1.0
0.87,ranking,Fairness q1,0.10006
0.87,ranking,Fairness q2,0.10928
0.87,ranking,Fairness q3,0.11801
0.87,ranking,Fairness q4,0.12977

0.87,grid search,iterations q1,4.0
0.87,grid search,iterations q2,4.0
0.87,grid search,iterations q3,4.0
0.87,grid search,iterations q4,4.0
0.87,grid search,Fairness q1,0.11365
0.87,grid search,Fairness q2,0.11365
0.87,grid search,Fairness q3,0.11365
0.87,grid search,Fairness q4,0.11365

Utility Goal,Method,Iteration,Value
0.84,ranking,iterations q1,1.0
0.84,ranking,iterations q2,1.0
0.84,ranking,iterations q3,1.0
0.84,ranking,iterations q4,1.0
0.84,ranking,Fairness q1,0.09622
0.84,ranking,Fairness q2,0.11003
0.84,ranking,Fairness q3,0.11641
0.84,ranking,Fairness q4,0.12926

0.84,grid search,iterations q1,4.0
0.84,grid search,iterations q2,4.0
0.84,grid search,iterations q3,4.0
0.84,grid search,iterations q4,4.0
0.84,grid search,Fairness q1,0.10359
0.84,grid search,Fairness q2,0.10359
0.84,grid search,Fairness q3,0.10359
0.84,grid search,Fairness q4,0.10359

