Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,9
0.95,ranking,iterations q2,18.0
0.95,ranking,iterations q3,22.0
0.95,ranking,iterations q4,23.0
0.95,ranking,Fairness q1,0.0444
0.95,ranking,Fairness q2,0.04496
0.95,ranking,Fairness q3,0.04518
0.95,ranking,Fairness q4,0.04698

0.95,grid search,iterations q1,42.0
0.95,grid search,iterations q2,42.0
0.95,grid search,iterations q3,42.0
0.95,grid search,iterations q4,100.0
0.95,grid search,Fairness q1,0.03736
0.95,grid search,Fairness q2,0.03972
0.95,grid search,Fairness q3,0.04006
0.95,grid search,Fairness q4,0.06008

Utility Goal,Method,Iteration,Value
0.94,ranking,iterations q1,4.0
0.94,ranking,iterations q2,6.0
0.94,ranking,iterations q3,17.0
0.94,ranking,iterations q4,23.0
0.94,ranking,Fairness q1,0.05241
0.94,ranking,Fairness q2,0.05465
0.94,ranking,Fairness q3,0.05566
0.94,ranking,Fairness q4,0.05997

0.94,grid search,iterations q1,42.0
0.94,grid search,iterations q2,42.0
0.94,grid search,iterations q3,42.0
0.94,grid search,iterations q4,42.0
0.94,grid search,Fairness q1,0.03983
0.94,grid search,Fairness q2,0.04155
0.94,grid search,Fairness q3,0.04293
0.94,grid search,Fairness q4,0.04824

