Utility Goal,Method,Iteration,Value
0.855,ranking,iterations q1,1.0
0.855,ranking,iterations q2,1.0
0.855,ranking,iterations q3,2.0
0.855,ranking,iterations q4,9.0
0.855,ranking,Fairness q1,0.14109
0.855,ranking,Fairness q2,0.14109
0.855,ranking,Fairness q3,0.14109
0.855,ranking,Fairness q4,0.14356

Utility Goal,Method,Iteration,Value
0.845,ranking,iterations q1,1.0
0.845,ranking,iterations q2,1.0
0.845,ranking,iterations q3,1.0
0.845,ranking,iterations q4,8.0
0.845,ranking,Fairness q1,0.14109
0.845,ranking,Fairness q2,0.14356
0.845,ranking,Fairness q3,0.15309
0.845,ranking,Fairness q4,0.15347

Utility Goal,Method,Iteration,Value
0.835,ranking,iterations q1,1.0
0.835,ranking,iterations q2,1.0
0.835,ranking,iterations q3,1.0
0.835,ranking,iterations q4,2.0
0.835,ranking,Fairness q1,0.15446
0.835,ranking,Fairness q2,0.15644
0.835,ranking,Fairness q3,0.15644
0.835,ranking,Fairness q4,0.15725

Utility Goal,Method,Iteration,Value
0.825,ranking,iterations q1,1.0
0.825,ranking,iterations q2,1.0
0.825,ranking,iterations q3,1.0
0.825,ranking,iterations q4,1.0
0.825,ranking,Fairness q1,0.15446
0.825,ranking,Fairness q2,0.15644
0.825,ranking,Fairness q3,0.15644
0.825,ranking,Fairness q4,0.16584

