Utility Goal,Method,Iteration,Value
0.94,ranking,iterations q1,1.0
0.94,ranking,iterations q2,1.0
0.94,ranking,iterations q3,1.0
0.94,ranking,iterations q4,1.0
0.94,ranking,Fairness q1,0.06031
0.94,ranking,Fairness q2,0.06031
0.94,ranking,Fairness q3,0.06031
0.94,ranking,Fairness q4,0.06031

Utility Goal,Method,Iteration,Value
0.93,ranking,iterations q1,1.0
0.93,ranking,iterations q2,1.0
0.93,ranking,iterations q3,1.0
0.93,ranking,iterations q4,1.0
0.93,ranking,Fairness q1,0.06031
0.93,ranking,Fairness q2,0.06031
0.93,ranking,Fairness q3,0.06031
0.93,ranking,Fairness q4,0.06031

Utility Goal,Method,Iteration,Value
0.93,ranking,iterations q1,1.0
0.93,ranking,iterations q2,1.0
0.93,ranking,iterations q3,1.0
0.93,ranking,iterations q4,1.0
0.93,ranking,Fairness q1,0.06031
0.93,ranking,Fairness q2,0.06031
0.93,ranking,Fairness q3,0.06031
0.93,ranking,Fairness q4,0.06031

Utility Goal,Method,Iteration,Value
0.92,ranking,iterations q1,1.0
0.92,ranking,iterations q2,1.0
0.92,ranking,iterations q3,1.0
0.92,ranking,iterations q4,1.0
0.92,ranking,Fairness q1,0.06031
0.92,ranking,Fairness q2,0.06031
0.92,ranking,Fairness q3,0.06031
0.92,ranking,Fairness q4,0.06031

