Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,3.0
0.95,ranking,iterations q2,4.0
0.95,ranking,iterations q3,25.0
0.95,ranking,iterations q4,25.0
0.95,ranking,Fairness q1,0.0
0.95,ranking,Fairness q2,0.0
0.95,ranking,Fairness q3,0.0
0.95,ranking,Fairness q4,0.04379
Utility Goal,Method,Iteration,Value
0.94,ranking,iterations q1,3.0
0.94,ranking,iterations q2,3.0
0.94,ranking,iterations q3,25.0
0.94,ranking,iterations q4,25.0
0.94,ranking,Fairness q1,0.0
0.94,ranking,Fairness q2,0.0
0.94,ranking,Fairness q3,0.0
0.94,ranking,Fairness q4,0.05781
Utility Goal,Method,Iteration,Value
0.87,ranking,iterations q1,3.0
0.87,ranking,iterations q2,3.0
0.87,ranking,iterations q3,25.0
0.87,ranking,iterations q4,25.0
0.87,ranking,Fairness q1,0.0
0.87,ranking,Fairness q2,0.0
0.87,ranking,Fairness q3,0.0
0.87,ranking,Fairness q4,0.05781
Utility Goal,Method,Iteration,Value
0.84,ranking,iterations q1,1.0
0.84,ranking,iterations q2,3.0
0.84,ranking,iterations q3,23.0
0.84,ranking,iterations q4,24.0
0.84,ranking,Fairness q1,0.05781
0.84,ranking,Fairness q2,0.1358
0.84,ranking,Fairness q3,0.13789
0.84,ranking,Fairness q4,0.15549
