Utility Goal,Method,Iteration,Value
1.0,ranking,iterations q1,21.0
1.0,ranking,iterations q2,21.0
1.0,ranking,iterations q3,21.0
1.0,ranking,iterations q4,21.0
1.0,ranking,Fairness q1,146.41644
1.0,ranking,Fairness q2,146.92078
1.0,ranking,Fairness q3,146.92078
1.0,ranking,Fairness q4,154.64067
Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,1.0
0.95,ranking,iterations q2,20.0
0.95,ranking,iterations q3,21.0
0.95,ranking,iterations q4,21.0
0.95,ranking,Fairness q1,146.41644
0.95,ranking,Fairness q2,154.64067
0.95,ranking,Fairness q3,163.29349
0.95,ranking,Fairness q4,165.18062
Utility Goal,Method,Iteration,Value
0.89,ranking,iterations q1,1.0
0.89,ranking,iterations q2,20.0
0.89,ranking,iterations q3,20.0
0.89,ranking,iterations q4,20.0
0.89,ranking,Fairness q1,163.29349
0.89,ranking,Fairness q2,171.4398
0.89,ranking,Fairness q3,171.4398
0.89,ranking,Fairness q4,176.60019
Utility Goal,Method,Iteration,Value
0.86,ranking,iterations q1,1.0
0.86,ranking,iterations q2,20.0
0.86,ranking,iterations q3,20.0
0.86,ranking,iterations q4,20.0
0.86,ranking,Fairness q1,163.29349
0.86,ranking,Fairness q2,171.4398
0.86,ranking,Fairness q3,171.4398
0.86,ranking,Fairness q4,176.60019
