Utility Goal,Method,Iteration,Value
1.0,ranking,iterations q1,5.0
1.0,ranking,iterations q2,6.0
1.0,ranking,iterations q3,7.0
1.0,ranking,iterations q4,7.0
1.0,ranking,Fairness q1,135.77091
1.0,ranking,Fairness q2,138.83473
1.0,ranking,Fairness q3,154.64067
1.0,ranking,Fairness q4,161.03466
Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,1.0
0.95,ranking,iterations q2,6.0
0.95,ranking,iterations q3,7.0
0.95,ranking,iterations q4,7.0
0.95,ranking,Fairness q1,135.77091
0.95,ranking,Fairness q2,138.83473
0.95,ranking,Fairness q3,154.64067
0.95,ranking,Fairness q4,167.00499
Utility Goal,Method,Iteration,Value
0.89,ranking,iterations q1,1.0
0.89,ranking,iterations q2,4.0
0.89,ranking,iterations q3,6.0
0.89,ranking,iterations q4,7.0
0.89,ranking,Fairness q1,154.64067
0.89,ranking,Fairness q2,175.15774
0.89,ranking,Fairness q3,176.60019
0.89,ranking,Fairness q4,179.08729
Utility Goal,Method,Iteration,Value
0.86,ranking,iterations q1,1.0
0.86,ranking,iterations q2,2.0
0.86,ranking,iterations q3,6.0
0.86,ranking,iterations q4,7.0
0.86,ranking,Fairness q1,154.64067
0.86,ranking,Fairness q2,175.15774
0.86,ranking,Fairness q3,176.60019
0.86,ranking,Fairness q4,180.55501
