Fairness Goal,Grid search,Iteration,Value
0.94,ranking,iterations q1,3.0
0.94,ranking,iterations q2,7.0
0.94,ranking,iterations q3,8.0
0.94,ranking,iterations q4,13.0
0.94,ranking,Fairness q1,0.05616
0.94,ranking,Fairness q2,0.05616
0.94,ranking,Fairness q3,0.05616
0.94,ranking,Fairness q4,0.05616

Fairness Goal,Grid search,Iteration,Value
0.93,ranking,iterations q1,1.0
0.93,ranking,iterations q2,3.0
0.93,ranking,iterations q3,4.0
0.93,ranking,iterations q4,8.0
0.93,ranking,Fairness q1,0.05616
0.93,ranking,Fairness q2,0.06615
0.93,ranking,Fairness q3,0.06897
0.93,ranking,Fairness q4,0.06911

Fairness Goal,Grid search,Iteration,Value
0.92,ranking,iterations q1,1.0
0.92,ranking,iterations q2,1.0
0.92,ranking,iterations q3,1.0
0.92,ranking,iterations q4,2.0
0.92,ranking,Fairness q1,0.06615
0.92,ranking,Fairness q2,0.07343
0.92,ranking,Fairness q3,0.07782
0.92,ranking,Fairness q4,0.07991

Fairness Goal,Grid search,Iteration,Value
0.91,ranking,iterations q1,1.0
0.91,ranking,iterations q2,1.0
0.91,ranking,iterations q3,1.0
0.91,ranking,iterations q4,1.0
0.91,ranking,Fairness q1,0.06615
0.91,ranking,Fairness q2,0.07782
0.91,ranking,Fairness q3,0.08171
0.91,ranking,Fairness q4,0.08755

