Fairness Goal,Grid search,Iteration,Value
0.95,ranking,iterations q1,1.0
0.95,ranking,iterations q2,2.0
0.95,ranking,iterations q3,2.0
0.95,ranking,iterations q4,13.0
0.95,ranking,Fairness q1,0.04379
0.95,ranking,Fairness q2,0.04379
0.95,ranking,Fairness q3,0.04379
0.95,ranking,Fairness q4,0.04379

Fairness Goal,Grid search,Iteration,Value
0.94,ranking,iterations q1,1.0
0.94,ranking,iterations q2,1.0
0.94,ranking,iterations q3,2.0
0.94,ranking,iterations q4,2.0
0.94,ranking,Fairness q1,0.04379
0.94,ranking,Fairness q2,0.04379
0.94,ranking,Fairness q3,0.05369
0.94,ranking,Fairness q4,0.0589

Fairness Goal,Grid search,Iteration,Value
0.87,ranking,iterations q1,1.0
0.87,ranking,iterations q2,1.0
0.87,ranking,iterations q3,1.0
0.87,ranking,iterations q4,1.0
0.87,ranking,Fairness q1,0.05066
0.87,ranking,Fairness q2,0.05781
0.87,ranking,Fairness q3,0.06665
0.87,ranking,Fairness q4,0.09299

Fairness Goal,Grid search,Iteration,Value
0.84,ranking,iterations q1,1.0
0.84,ranking,iterations q2,1.0
0.84,ranking,iterations q3,1.0
0.84,ranking,iterations q4,1.0
0.84,ranking,Fairness q1,0.05369
0.84,ranking,Fairness q2,0.06588
0.84,ranking,Fairness q3,0.08002
0.84,ranking,Fairness q4,0.15956

