Utility Goal,Method,Iteration,Value
0.93,ranking,iterations q1,11.0
0.93,ranking,iterations q2,22.0
0.93,ranking,iterations q3,22.0
0.93,ranking,iterations q4,23.0
0.93,ranking,Fairness q1,0.06909
0.93,ranking,Fairness q2,0.06909
0.93,ranking,Fairness q3,0.06909
0.93,ranking,Fairness q4,0.06909
Utility Goal,Method,Iteration,Value
0.92,ranking,iterations q1,5.0
0.92,ranking,iterations q2,5.0
0.92,ranking,iterations q3,18.0
0.92,ranking,iterations q4,20.0
0.92,ranking,Fairness q1,0.07612
0.92,ranking,Fairness q2,0.07652
0.92,ranking,Fairness q3,0.07757
0.92,ranking,Fairness q4,0.07958
Utility Goal,Method,Iteration,Value
0.91,ranking,iterations q1,4.0
0.91,ranking,iterations q2,5.0
0.91,ranking,iterations q3,17.0
0.91,ranking,iterations q4,19.0
0.91,ranking,Fairness q1,0.07652
0.91,ranking,Fairness q2,0.08131
0.91,ranking,Fairness q3,0.08131
0.91,ranking,Fairness q4,0.08772
