Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,4.0
0.95,ranking,iterations q2,5.0
0.95,ranking,iterations q3,15.0
0.95,ranking,iterations q4,42.0
0.95,ranking,Fairness q1,0.03873
0.95,ranking,Fairness q2,0.03936
0.95,ranking,Fairness q3,0.04452
0.95,ranking,Fairness q4,0.0485

0.95,grid search,iterations q1,42.0
0.95,grid search,iterations q2,42.0
0.95,grid search,iterations q3,55.0
0.95,grid search,iterations q4,72.0
0.95,grid search,Fairness q1,0.03628
0.95,grid search,Fairness q2,0.03999
0.95,grid search,Fairness q3,0.04006
0.95,grid search,Fairness q4,0.04162

Utility Goal,Method,Iteration,Value
0.94,ranking,iterations q1,2.0
0.94,ranking,iterations q2,5.0
0.94,ranking,iterations q3,14.0
0.94,ranking,iterations q4,19.0
0.94,ranking,Fairness q1,0.05676
0.94,ranking,Fairness q2,0.05717
0.94,ranking,Fairness q3,0.05805
0.94,ranking,Fairness q4,0.05928

0.94,grid search,iterations q1,42.0
0.94,grid search,iterations q2,42.0
0.94,grid search,iterations q3,42.0
0.94,grid search,iterations q4,55.0
0.94,grid search,Fairness q1,0.03896
0.94,grid search,Fairness q2,0.0409
0.94,grid search,Fairness q3,0.041
0.94,grid search,Fairness q4,0.04891

