Utility Goal,Method,Iteration,Value
0.98,ranking,iterations q1,8.5
0.98,ranking,iterations q2,8.5
0.98,ranking,iterations q3,8.5
0.98,ranking,iterations q4,9.0
0.98,ranking,Fairness q1,0.00874
0.98,ranking,Fairness q2,0.00874
0.98,ranking,Fairness q3,0.00874
0.98,ranking,Fairness q4,0.01748

Utility Goal,Method,Iteration,Value
0.97,ranking,iterations q1,8.0
0.97,ranking,iterations q2,8.0
0.97,ranking,iterations q3,8.0
0.97,ranking,iterations q4,9.0
0.97,ranking,Fairness q1,0.00874
0.97,ranking,Fairness q2,0.00874
0.97,ranking,Fairness q3,0.00874
0.97,ranking,Fairness q4,0.01748

Utility Goal,Method,Iteration,Value
0.96,ranking,iterations q1,43.0
0.96,ranking,iterations q2,43.0
0.96,ranking,iterations q3,43.0
0.96,ranking,iterations q4,78.0
0.96,ranking,Fairness q1,0.00266
0.96,ranking,Fairness q2,0.00266
0.96,ranking,Fairness q3,0.00266
0.96,ranking,Fairness q4,0.00533

Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,7.0
0.95,ranking,iterations q2,7.0
0.95,ranking,iterations q3,7.0
0.95,ranking,iterations q4,8.0
0.95,ranking,Fairness q1,0.01117
0.95,ranking,Fairness q2,0.01117
0.95,ranking,Fairness q3,0.01117
0.95,ranking,Fairness q4,0.02233

Utility Goal,Method,Iteration,Value
0.94,ranking,iterations q1,18.5
0.94,ranking,iterations q2,18.5
0.94,ranking,iterations q3,18.5
0.94,ranking,iterations q4,27.0
0.94,ranking,Fairness q1,0.0255
0.94,ranking,Fairness q2,0.0255
0.94,ranking,Fairness q3,0.0255
0.94,ranking,Fairness q4,0.051

Utility Goal,Method,Iteration,Value
0.93,ranking,iterations q1,17.5
0.93,ranking,iterations q2,17.5
0.93,ranking,iterations q3,17.5
0.93,ranking,iterations q4,28.0
0.93,ranking,Fairness q1,0.03025
0.93,ranking,Fairness q2,0.03025
0.93,ranking,Fairness q3,0.03025
0.93,ranking,Fairness q4,0.0605

Utility Goal,Method,Iteration,Value
0.92,ranking,iterations q1,16.0
0.92,ranking,iterations q2,16.0
0.92,ranking,iterations q3,16.0
0.92,ranking,iterations q4,29.0
0.92,ranking,Fairness q1,0.06356
0.92,ranking,Fairness q2,0.06356
0.92,ranking,Fairness q3,0.06356
0.92,ranking,Fairness q4,0.07053

Utility Goal,Method,Iteration,Value
0.91,ranking,iterations q1,15.0
0.91,ranking,iterations q2,15.0
0.91,ranking,iterations q3,15.0
0.91,ranking,iterations q4,27.0
0.91,ranking,Fairness q1,0.06619
0.91,ranking,Fairness q2,0.06619
0.91,ranking,Fairness q3,0.06619
0.91,ranking,Fairness q4,0.07053

Utility Goal,Method,Iteration,Value
0.9,ranking,iterations q1,13.5
0.9,ranking,iterations q2,13.5
0.9,ranking,iterations q3,13.5
0.9,ranking,iterations q4,24.0
0.9,ranking,Fairness q1,0.08491
0.9,ranking,Fairness q2,0.08491
0.9,ranking,Fairness q3,0.08491
0.9,ranking,Fairness q4,0.09929

