mv,norm,od,sample_size,method,iterations
1.0,1.0,1.0,715,profile,5
1.0,1.0,2.0,715,profile,1
1.0,1.0,3.0,715,profile,4
1.0,1.0,4.0,715,profile,4
1.0,1.0,5.0,715,profile,1
1.0,1.0,6.0,715,profile,1
1.0,1.0,7.0,715,profile,1
1.0,1.0,8.0,715,profile,1
1.0,1.0,9.0,715,profile,1
1.0,1.0,10.0,715,profile,1
1.0,1.0,11.0,715,profile,1
1.0,2.0,1.0,715,profile,7
1.0,2.0,2.0,715,profile,1
1.0,2.0,3.0,715,profile,8
1.0,2.0,4.0,715,profile,5
1.0,2.0,5.0,715,profile,4
1.0,2.0,6.0,715,profile,4
1.0,2.0,7.0,715,profile,4
1.0,2.0,8.0,715,profile,1
1.0,2.0,9.0,715,profile,1
1.0,2.0,10.0,715,profile,1
1.0,2.0,11.0,715,profile,1
1.0,3.0,1.0,715,profile,8
1.0,3.0,2.0,715,profile,1
1.0,3.0,3.0,715,profile,5
1.0,3.0,4.0,715,profile,5
1.0,3.0,5.0,715,profile,4
1.0,3.0,6.0,715,profile,4
1.0,3.0,7.0,715,profile,1
1.0,3.0,8.0,715,profile,1
1.0,3.0,9.0,715,profile,1
1.0,3.0,10.0,715,profile,1
1.0,3.0,11.0,715,profile,1
1.0,4.0,1.0,715,profile,4
1.0,4.0,2.0,715,profile,1
1.0,4.0,3.0,715,profile,5
1.0,4.0,4.0,715,profile,5
1.0,4.0,5.0,715,profile,4
1.0,4.0,6.0,715,profile,4
1.0,4.0,7.0,715,profile,4
1.0,4.0,8.0,715,profile,4
1.0,4.0,9.0,715,profile,4
1.0,4.0,10.0,715,profile,1
1.0,4.0,11.0,715,profile,1
1.0,5.0,1.0,715,profile,3
1.0,5.0,2.0,715,profile,1
1.0,5.0,3.0,715,profile,4
1.0,5.0,4.0,715,profile,4
1.0,5.0,5.0,715,profile,3
1.0,5.0,6.0,715,profile,3
1.0,5.0,7.0,715,profile,3
1.0,5.0,8.0,715,profile,3
1.0,5.0,9.0,715,profile,3
1.0,5.0,10.0,715,profile,1
