missing_value,normalization,outlier,out_before_out_strat,out_before_norm_strat,class_imbalance_ratio,corr_race,ot_race,corr_gender,ot_gender,corr_loan_type,ot_loan_type,corr_applicant_age,ot_applicant_age,corr_lien_status,ot_lien_status,corr_LV,ot_LV,corr_DI,ot_DI,corr_income_brackets,ot_income_brackets,fairness
1,1,1,0.4985408560311284,0.4985408560311284,0.71751,42.53411,0.0,0.94569,0.0,10.41764,0.0,3.25568,0.0,23.0824,0.0,17.84286,0.0,310.80591,0.0,82.50565,0.0,0.10068093385214005
1,1,2,0.4985408560311284,0.4985408560311284,0.5249,18.0629,29.9125,0.0,29.9125,3.56586,29.9125,0.12648,29.9125,0.0,29.9125,13.80463,29.9125,78.47716,29.9125,7.59252,29.9125,0.06384455239417075
1,1,3,0.4985408560311284,0.4985408560311284,0.6323,31.76154,13.1809,0.92364,13.1809,12.631,13.1809,1.75732,13.1809,20.12585,13.1809,14.0799,13.1809,262.58541,13.1809,76.12382,13.1809,0.088515406162465
1,1,4,0.4985408560311284,0.4985408560311284,0.50506,24.15488,30.0097,0.74775,30.0097,5.09724,30.0097,3.9307,30.0097,23.62834,30.0097,14.49145,30.0097,187.87706,30.0097,70.90097,30.0097,0.09451007644197362
1,1,5,0.4985408560311284,0.4985408560311284,0.50778,22.66702,30.0097,0.38659,30.0097,4.32369,30.0097,6.07459,30.0097,20.98776,30.0097,12.21234,30.0097,164.50051,30.0097,49.03384,30.0097,0.08825573314801949
1,1,6,0.4985408560311284,0.4985408560311284,0.51518,14.69018,30.0097,0.9863,30.0097,4.96581,30.0097,3.60593,30.0097,0.78794,30.0097,12.56773,30.0097,105.09083,30.0097,20.21845,30.0097,0.07991660875608064
1,1,7,0.4985408560311284,0.4985408560311284,0.52335,24.35994,29.8638,0.15289,29.8638,13.93246,29.8638,2.7817,29.8638,1.06586,29.8638,12.37197,29.8638,51.16764,29.8638,11.68173,29.8638,0.06726768377253811
1,1,8,0.4985408560311284,0.4985408560311284,0.52335,21.93896,30.0097,0.41467,30.0097,12.72714,30.0097,2.36557,30.0097,0.0,30.0097,9.64992,30.0097,52.3325,30.0097,13.67738,30.0097,0.06532314107018766
1,1,9,0.4985408560311284,0.4985408560311284,0.5249,25.66363,30.0097,0.47279,30.0097,9.23877,30.0097,0.15725,30.0097,4.82522,30.0097,12.15591,30.0097,71.71176,30.0097,9.95846,30.0097,0.06254343293954134
1,1,10,0.4985408560311284,0.4985408560311284,0.52218,26.40437,29.8638,0.02226,29.8638,6.12759,29.8638,2.65293,29.8638,1.74006,29.8638,15.43714,29.8638,22.19058,29.8638,9.74707,29.8638,0.06934812760055475
1,1,11,0.4985408560311284,0.4985408560311284,0.51984,28.19168,30.0097,0.06831,30.0097,14.20789,30.0097,2.56986,30.0097,4.04347,30.0097,20.91192,30.0097,19.4522,30.0097,8.48022,30.0097,0.0715774843641418
1,2,1,0.502431906614786,0.4985408560311284,0.71751,42.53411,0.0,0.94569,0.0,10.41764,0.0,3.25568,0.0,23.0824,0.0,17.84286,0.0,310.80591,0.0,82.50565,0.0,0.10019455252918286
1,2,2,0.502431906614786,0.4985408560311284,0.5249,18.0629,29.9125,0.0,29.9125,3.56586,29.9125,0.12648,29.9125,0.0,29.9125,13.80463,29.9125,78.47716,29.9125,7.59252,29.9125,0.06384455239417075
