Utility Goal,Method,Iteration,Value
0.95,ranking,iterations q1,23.0
0.95,ranking,iterations q2,25.0
0.95,ranking,iterations q3,45.0
0.95,ranking,iterations q4,54.0
0.95,ranking,Fairness q1,0.03937
0.95,ranking,Fairness q2,0.03955
0.95,ranking,Fairness q3,0.04377
0.95,ranking,Fairness q4,0.04761

0.95,grid search,iterations q1,42.0
0.95,grid search,iterations q2,42.0
0.95,grid search,iterations q3,55.0
0.95,grid search,iterations q4,55.0
0.95,grid search,Fairness q1,0.03954
0.95,grid search,Fairness q2,0.04006
0.95,grid search,Fairness q3,0.04372
0.95,grid search,Fairness q4,0.04721

Utility Goal,Method,Iteration,Value
0.94,ranking,iterations q1,23.0
0.94,ranking,iterations q2,23.0
0.94,ranking,iterations q3,23.0
0.94,ranking,iterations q4,24.0
0.94,ranking,Fairness q1,0.03975
0.94,ranking,Fairness q2,0.03995
0.94,ranking,Fairness q3,0.04377
0.94,ranking,Fairness q4,0.05602

0.94,grid search,iterations q1,42.0
0.94,grid search,iterations q2,42.0
0.94,grid search,iterations q3,55.0
0.94,grid search,iterations q4,90.0
0.94,grid search,Fairness q1,0.0409
0.94,grid search,Fairness q2,0.04106
0.94,grid search,Fairness q3,0.05829
0.94,grid search,Fairness q4,0.05998

