dataset_name,missing_value,normalization,model,best_action,attempts_to_pass,passed,util_if_pass,threshold
adult,1,1,1,Prediction,3,True,0.048451,0.05
adult,1,2,1,Similarity,8,True,0.042263,0.05
adult,1,3,1,Similarity,4,True,0.04586,0.05
adult,1,4,1,Similarity,3,True,0.031209,0.05
adult,1,5,1,Similarity,2,True,0.049742,0.05
adult,2,1,1,Prediction,2,True,0.043781,0.05
adult,2,2,1,Similarity,5,True,0.037094,0.05
adult,2,3,1,Similarity,1,True,0.049958,0.05
adult,2,4,1,Similarity,8,True,0.047355,0.05
adult,2,5,1,Similarity,11,True,0.047432,0.05
adult,3,1,1,Prediction,11,True,0.048032,0.05
adult,3,2,1,Similarity,1,True,0.045775,0.05
adult,3,3,1,Similarity,11,True,0.020413,0.05
adult,3,4,1,Similarity,6,True,0.030874,0.05
adult,3,5,1,Similarity,11,True,0.041122,0.05
adult,4,1,1,Prediction,9,True,0.048739,0.05
adult,4,2,1,Similarity,9,True,0.047538,0.05
adult,4,3,1,Similarity,1,True,0.031371,0.05
adult,4,4,1,Similarity,3,True,0.030981,0.05
adult,4,5,1,Similarity,1,True,0.0434,0.05
adult,5,1,1,Prediction,11,True,0.044615,0.05
adult,5,2,1,Similarity,6,True,0.0325,0.05
adult,5,3,1,Similarity,11,True,0.025482,0.05
adult,5,4,1,Similarity,7,True,0.023887,0.05
adult,5,5,1,Similarity,11,True,0.029793,0.05
adult,6,1,1,Prediction,3,True,0.049443,0.05
adult,6,2,1,Similarity,9,True,0.025897,0.05
adult,6,3,1,Similarity,11,True,0.032165,0.05
adult,6,4,1,Similarity,11,True,0.041606,0.05
adult,6,5,1,Similarity,11,True,0.04755,0.05
adult,7,1,1,Prediction,3,True,0.04968,0.05
adult,7,2,1,Similarity,9,True,0.049466,0.05
adult,7,3,1,Similarity,1,True,0.027754,0.05
adult,7,4,1,Similarity,6,True,0.039648,0.05
adult,7,5,1,Similarity,5,True,0.04506,0.05
adult,8,1,1,Prediction,1,True,0.041163,0.05
adult,8,2,1,Similarity,4,True,0.047467,0.05
adult,8,3,1,Similarity,6,True,0.045384,0.05
adult,8,4,1,Similarity,1,True,0.030642,0.05
adult,8,5,1,Similarity,1,True,0.035759,0.05
adult,9,1,1,Prediction,4,True,0.048004,0.05
adult,9,2,1,Similarity,11,True,0.048844,0.05
adult,9,3,1,Similarity,1,True,0.047783,0.05
adult,9,4,1,Similarity,4,True,0.036089,0.05
adult,9,5,1,Similarity,3,True,0.039192,0.05
housing,1,1,1,Similarity,1,True,159.239256,170.0
housing,1,2,1,Similarity,1,True,164.041913,170.0
housing,1,3,1,Similarity,1,True,166.784599,170.0
housing,1,4,1,Similarity,1,True,165.326247,170.0
housing,1,5,1,Similarity,1,True,150.456387,170.0
housing,2,1,1,Similarity,1,True,166.821222,170.0
housing,2,2,1,Similarity,1,True,165.568172,170.0
housing,2,3,1,Similarity,1,True,164.355143,170.0
housing,2,4,1,Similarity,1,True,161.102949,170.0
housing,2,5,1,Similarity,1,True,169.772194,170.0
housing,3,1,1,Similarity,1,True,165.341301,170.0
housing,3,2,1,Similarity,1,True,154.491343,170.0
housing,3,3,1,Similarity,1,True,165.005696,170.0
housing,3,4,1,Similarity,1,True,156.065726,170.0
housing,3,5,1,Similarity,1,True,169.02186,170.0
housing,4,1,1,Similarity,1,True,163.822113,170.0
housing,4,2,1,Similarity,1,True,156.217544,170.0
housing,4,3,1,Similarity,1,True,164.555586,170.0
housing,4,4,1,Similarity,1,True,165.330129,170.0
housing,4,5,1,Similarity,1,True,166.539682,170.0
housing,5,1,1,Similarity,1,True,165.319977,170.0
housing,5,2,1,Similarity,1,True,154.094564,170.0
housing,5,3,1,Prediction,1,True,150.623069,170.0
housing,5,4,1,Prediction,1,True,167.017214,170.0
housing,5,5,1,Prediction,1,True,156.076954,170.0
housing,6,1,1,Prediction,1,True,156.089962,170.0
housing,6,2,1,Prediction,1,True,169.923797,170.0
housing,6,3,1,Prediction,1,True,152.688755,170.0
housing,6,4,1,Prediction,1,True,161.260185,170.0
housing,6,5,1,Prediction,1,True,154.163114,170.0
housing,7,1,1,Prediction,1,True,158.262951,170.0
housing,7,2,1,Prediction,1,True,160.632583,170.0
housing,7,3,1,Prediction,1,True,163.003362,170.0
housing,7,4,1,Prediction,1,True,159.370385,170.0
housing,7,5,1,Prediction,1,True,162.551304,170.0
housing,8,1,1,Prediction,1,True,168.504189,170.0
housing,8,2,1,Prediction,1,True,168.228011,170.0
housing,8,3,1,Prediction,1,True,160.95597,170.0
housing,8,4,1,Prediction,1,True,156.013127,170.0
housing,8,5,1,Prediction,1,True,169.215516,170.0
housing,9,1,1,Prediction,1,True,164.837049,170.0
housing,9,2,1,Prediction,1,True,166.932091,170.0
housing,9,3,1,Prediction,1,True,165.789391,170.0
housing,9,4,1,Prediction,1,True,158.702862,170.0
housing,9,5,1,Prediction,1,True,165.845837,170.0
hmda,1,1,1,Prediction,2,True,0.051722,0.08
hmda,1,2,1,Prediction,2,True,0.070405,0.08
hmda,1,3,1,Prediction,1,True,0.078794,0.08
hmda,1,4,1,Prediction,3,True,0.068755,0.08
hmda,1,5,1,Prediction,2,True,0.06001,0.08
hmda,2,1,1,Prediction,1,True,0.069842,0.08
hmda,2,2,1,Prediction,3,True,0.07179,0.08
hmda,2,3,1,Prediction,3,True,0.063644,0.08
hmda,2,4,1,Prediction,2,True,0.062038,0.08
hmda,2,5,1,Prediction,3,True,0.07639,0.08
hmda,3,1,1,Prediction,2,True,0.077693,0.08
hmda,3,2,1,Prediction,2,True,0.074262,0.08
hmda,3,3,1,Prediction,2,True,0.052553,0.08
hmda,3,4,1,Prediction,2,True,0.076455,0.08
hmda,3,5,1,Prediction,2,True,0.077616,0.08
hmda,4,1,1,Prediction,2,True,0.074495,0.08
hmda,4,2,1,Prediction,1,True,0.074763,0.08
hmda,4,3,1,Prediction,1,True,0.073315,0.08
hmda,4,4,1,Prediction,2,True,0.07389,0.08
hmda,4,5,1,Prediction,1,True,0.065895,0.08
hmda,5,1,1,Prediction,2,True,0.072376,0.08
hmda,5,2,1,Prediction,1,True,0.079859,0.08
hmda,5,3,1,Prediction,1,True,0.06497,0.08
hmda,5,4,1,Prediction,1,True,0.031013,0.08
hmda,5,5,1,Prediction,2,True,0.069918,0.08
hmda,6,1,1,Prediction,2,True,0.076933,0.08
hmda,6,2,1,Prediction,1,True,0.052975,0.08
hmda,6,3,1,Prediction,1,True,0.078284,0.08
hmda,6,4,1,Prediction,2,True,0.050369,0.08
hmda,6,5,1,Prediction,1,True,0.068644,0.08
hmda,7,1,1,Prediction,2,True,0.067518,0.08
hmda,7,2,1,Prediction,1,True,0.079492,0.08
hmda,7,3,1,Prediction,2,True,0.06231,0.08
hmda,7,4,1,Prediction,1,True,0.074987,0.08
hmda,7,5,1,Prediction,1,True,0.072157,0.08
hmda,8,1,1,Prediction,2,True,0.065352,0.08
hmda,8,2,1,Prediction,2,True,0.074133,0.08
hmda,8,3,1,Prediction,2,True,0.065113,0.08
hmda,8,4,1,Prediction,1,True,0.066216,0.08
hmda,8,5,1,Prediction,2,True,0.063893,0.08
hmda,9,1,1,Prediction,2,True,0.075255,0.08
hmda,9,2,1,Prediction,2,True,0.06731,0.08
hmda,9,3,1,Prediction,1,True,0.071943,0.08
hmda,9,4,1,Prediction,1,True,0.075705,0.08
hmda,9,5,1,Prediction,2,True,0.067254,0.08
