profile ranking algorithm statistics
stats for f-score goal: 0.8
ranking algorithm iterations q1: 2.0
ranking algorithm iterations q2: 2.0
ranking algorithm iterations q3: 3.0
ranking algorithm f-score q1: 0.87934
ranking algorithm f-score q2: 0.91919
ranking algorithm f-score q3: 0.98353
ranking algorithm failures: 0
grid search iterations q1: 1.0
grid search iterations q2: 2.0
grid search iterations q3: 3.5
grid search f-score q1: 0.81798
grid search f-score q2: 0.94174
grid search f-score q3: 0.97326
stats for f-score goal: 0.9
ranking algorithm iterations q1: 2.0
ranking algorithm iterations q2: 3.0
ranking algorithm iterations q3: 5.0
ranking algorithm f-score q1: 0.97357
ranking algorithm f-score q2: 0.98611
ranking algorithm f-score q3: 0.98611
ranking algorithm failures: 0
grid search iterations q1: 2.0
grid search iterations q2: 3.0
grid search iterations q3: 6.0
grid search f-score q1: 0.95187
grid search f-score q2: 0.96368
grid search f-score q3: 0.97858
stats for f-score goal: 0.95
ranking algorithm iterations q1: 3.0
ranking algorithm iterations q2: 4.0
ranking algorithm iterations q3: 5.0
ranking algorithm f-score q1: 0.98353
ranking algorithm f-score q2: 0.98611
ranking algorithm f-score q3: 0.98611
ranking algorithm failures: 0
grid search iterations q1: 2.0
grid search iterations q2: 4.0
grid search iterations q3: 8.0
grid search f-score q1: 0.95203
grid search f-score q2: 0.97015
grid search f-score q3: 0.97858
stats for f-score goal: 0.98
ranking algorithm iterations q1: 3.0
ranking algorithm iterations q2: 4.0
ranking algorithm iterations q3: 5.0
ranking algorithm f-score q1: 0.98611
ranking algorithm f-score q2: 0.98611
ranking algorithm f-score q3: 0.98611
ranking algorithm failures: 0
grid search iterations q1: 11.0
grid search iterations q2: 22.0
grid search iterations q3: 34.0
grid search f-score q1: 0.98353
grid search f-score q2: 0.98577
grid search f-score q3: 0.98611
stats for f-score goal: 0.985
ranking algorithm iterations q1: 4.0
ranking algorithm iterations q2: 5.0
ranking algorithm iterations q3: 5.0
ranking algorithm f-score q1: 0.98611
ranking algorithm f-score q2: 0.98611
ranking algorithm f-score q3: 0.98611
ranking algorithm failures: 0
grid search iterations q1: 17.0
grid search iterations q2: 31.5
grid search iterations q3: 53.0
grid search f-score q1: 0.98597
grid search f-score q2: 0.98604
grid search f-score q3: 0.98798
