naive parameter ranking algorithm statistics
stats for f-score goal: 0.8
ranking algorithm iterations q1: 2.0
ranking algorithm iterations q2: 6.0
ranking algorithm iterations q3: 8.0
ranking algorithm f-score q1: 0.8359
ranking algorithm f-score q2: 0.88954
ranking algorithm f-score q3: 0.95582
ranking algorithm failures: 0
grid search iterations q1: 1.0
grid search iterations q2: 2.0
grid search iterations q3: 4.0
grid search f-score q1: 0.87646
grid search f-score q2: 0.94591
grid search f-score q3: 0.96164
stats for f-score goal: 0.9
ranking algorithm iterations q1: 2.0
ranking algorithm iterations q2: 9.0
ranking algorithm iterations q3: 23.0
ranking algorithm f-score q1: 0.90963
ranking algorithm f-score q2: 0.93325
ranking algorithm f-score q3: 0.95582
ranking algorithm failures: 0
grid search iterations q1: 1.0
grid search iterations q2: 2.0
grid search iterations q3: 4.5
grid search f-score q1: 0.95156
grid search f-score q2: 0.95775
grid search f-score q3: 0.97063
stats for f-score goal: 0.95
ranking algorithm iterations q1: 6.5
ranking algorithm iterations q2: 19.0
ranking algorithm iterations q3: 30.0
ranking algorithm f-score q1: 0.95285
ranking algorithm f-score q2: 0.95356
ranking algorithm f-score q3: 0.96118
ranking algorithm failures: 0
grid search iterations q1: 2.0
grid search iterations q2: 4.0
grid search iterations q3: 7.0
grid search f-score q1: 0.9564
grid search f-score q2: 0.96232
grid search f-score q3: 0.97063
stats for f-score goal: 0.98
ranking algorithm iterations q1: 37.5
ranking algorithm iterations q2: 38.0
ranking algorithm iterations q3: 39.0
ranking algorithm f-score q1: 0.98409
ranking algorithm f-score q2: 0.98409
ranking algorithm f-score q3: 0.98409
ranking algorithm failures: 0
grid search iterations q1: 12.0
grid search iterations q2: 31.5
grid search iterations q3: 64.5
grid search f-score q1: 0.98428
grid search f-score q2: 0.98428
grid search f-score q3: 0.98565
stats for f-score goal: 0.99
ranking algorithm iterations q1: 103.0
ranking algorithm iterations q2: 337.0
ranking algorithm iterations q3: 339.0
ranking algorithm f-score q1: 0.99307
ranking algorithm f-score q2: 0.99307
ranking algorithm f-score q3: 0.99307
ranking algorithm failures: 0
grid search iterations q1: 162.5
grid search iterations q2: 296.0
grid search iterations q3: 399.5
grid search f-score q1: 0.99307
grid search f-score q2: 0.99307
grid search f-score q3: 0.99307
