profile ranking algorithm statistics
stats for f-score goal: 0.8
ranking algorithm iterations q1: 1.0
ranking algorithm iterations q2: 1.0
ranking algorithm iterations q3: 3.0
ranking algorithm f-score q1: 0.88758
ranking algorithm f-score q2: 0.97015
ranking algorithm f-score q3: 0.98611
ranking algorithm failures: 0
grid search iterations q1: 1.0
grid search iterations q2: 2.0
grid search iterations q3: 4.0
grid search f-score q1: 0.83033
grid search f-score q2: 0.91888
grid search f-score q3: 0.97015
stats for f-score goal: 0.9
ranking algorithm iterations q1: 1.0
ranking algorithm iterations q2: 3.0
ranking algorithm iterations q3: 4.0
ranking algorithm f-score q1: 0.97065
ranking algorithm f-score q2: 0.98611
ranking algorithm f-score q3: 0.98611
ranking algorithm failures: 0
grid search iterations q1: 2.0
grid search iterations q2: 4.0
grid search iterations q3: 7.0
grid search f-score q1: 0.95187
grid search f-score q2: 0.96515
grid search f-score q3: 0.97883
stats for f-score goal: 0.95
ranking algorithm iterations q1: 1.0
ranking algorithm iterations q2: 3.0
ranking algorithm iterations q3: 4.0
ranking algorithm f-score q1: 0.97858
ranking algorithm f-score q2: 0.98611
ranking algorithm f-score q3: 0.98611
ranking algorithm failures: 0
grid search iterations q1: 2.0
grid search iterations q2: 4.0
grid search iterations q3: 8.0
grid search f-score q1: 0.9569
grid search f-score q2: 0.97065
grid search f-score q3: 0.9805
stats for f-score goal: 0.98
ranking algorithm iterations q1: 3.0
ranking algorithm iterations q2: 4.0
ranking algorithm iterations q3: 4.0
ranking algorithm f-score q1: 0.98611
ranking algorithm f-score q2: 0.98611
ranking algorithm f-score q3: 0.98611
ranking algorithm failures: 0
grid search iterations q1: 8.0
grid search iterations q2: 17.0
grid search iterations q3: 30.5
grid search f-score q1: 0.98353
grid search f-score q2: 0.98474
grid search f-score q3: 0.98597
stats for f-score goal: 0.985
ranking algorithm iterations q1: 3.0
ranking algorithm iterations q2: 4.0
ranking algorithm iterations q3: 4.0
ranking algorithm f-score q1: 0.98611
ranking algorithm f-score q2: 0.98611
ranking algorithm f-score q3: 0.98611
ranking algorithm failures: 0
grid search iterations q1: 15.0
grid search iterations q2: 34.5
grid search iterations q3: 62.5
grid search f-score q1: 0.98597
grid search f-score q2: 0.98611
grid search f-score q3: 0.98611
