naive parameter ranking algorithm statistics
stats for f-score goal: 0.8
ranking algorithm iterations q1: 1.0
ranking algorithm iterations q2: 1.0
ranking algorithm iterations q3: 4.0
ranking algorithm f-score q1: 0.837
ranking algorithm f-score q2: 0.90211
ranking algorithm f-score q3: 0.95766
ranking algorithm failures: 0
grid search iterations q1: 1.0
grid search iterations q2: 2.0
grid search iterations q3: 4.0
grid search f-score q1: 0.8725
grid search f-score q2: 0.94587
grid search f-score q3: 0.95995
stats for f-score goal: 0.9
ranking algorithm iterations q1: 1.0
ranking algorithm iterations q2: 4.0
ranking algorithm iterations q3: 11.0
ranking algorithm f-score q1: 0.90963
ranking algorithm f-score q2: 0.94662
ranking algorithm f-score q3: 0.95766
ranking algorithm failures: 0
grid search iterations q1: 1.5
grid search iterations q2: 3.0
grid search iterations q3: 5.0
grid search f-score q1: 0.94579
grid search f-score q2: 0.95596
grid search f-score q3: 0.96784
stats for f-score goal: 0.95
ranking algorithm iterations q1: 1.0
ranking algorithm iterations q2: 12.0
ranking algorithm iterations q3: 12.0
ranking algorithm f-score q1: 0.9564
ranking algorithm f-score q2: 0.96181
ranking algorithm f-score q3: 0.96469
ranking algorithm failures: 0
grid search iterations q1: 2.0
grid search iterations q2: 3.5
grid search iterations q3: 6.5
grid search f-score q1: 0.95766
grid search f-score q2: 0.96374
grid search f-score q3: 0.97146
stats for f-score goal: 0.98
ranking algorithm iterations q1: 14.0
ranking algorithm iterations q2: 14.0
ranking algorithm iterations q3: 14.5
ranking algorithm f-score q1: 0.98497
ranking algorithm f-score q2: 0.98576
ranking algorithm f-score q3: 0.98592
ranking algorithm failures: 0
grid search iterations q1: 16.5
grid search iterations q2: 35.0
grid search iterations q3: 75.0
grid search f-score q1: 0.98428
grid search f-score q2: 0.98428
grid search f-score q3: 0.98592
stats for f-score goal: 0.99
ranking algorithm iterations q1: 111.0
ranking algorithm iterations q2: 337.0
ranking algorithm iterations q3: 360.0
ranking algorithm f-score q1: 0.99307
ranking algorithm f-score q2: 0.99307
ranking algorithm f-score q3: 0.99307
ranking algorithm failures: 0
grid search iterations q1: 117.0
grid search iterations q2: 218.5
grid search iterations q3: 390.0
grid search f-score q1: 0.99307
grid search f-score q2: 0.99307
grid search f-score q3: 0.99307
